Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[00:00:09] 	0.080	-	-	260	0.075	0.080	211	0.080	0.080
[08:30:34] 	-	-	-	-	-	0.085	100	-	-
[08:31:37] 	-	-	-	40	0.075	0.085	138	-	-
[08:33:47] 	-	-	-	60	0.075	0.085	188	-	-
[08:41:47] 	-	-	-	110	0.075	0.085	188	-	-
[08:44:04] 	-	-	-	110	0.075	0.085	288	-	-
[08:50:37] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[08:50:58] 	-	-	-	110	0.075	0.085	288	-	-
[08:57:31] 	-	-	-	110	0.075	0.085	338	-	-
[10:53:39] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:54:05] 	-	-	-	110	0.075	0.085	338	-	-
[12:21:29] 	-	-	-	110	0.075	0.085	342	-	-
[14:18:20] 	-	-	-	120	0.075	0.085	342	-	-
[15:18:51] 	0.085	+0.005	+6.3	120	0.075	0.085	332	0.085	0.085
[15:50:48] 	0.085	+0.005	+6.3	120	0.075	0.085	328	0.085	0.085
[15:56:07] 	0.085	+0.005	+6.3	120	0.075	0.085	332	0.085	0.085
[16:28:06] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:29:01] 	0.085	+0.005	+6.3	120	0.075	0.085	332	0.085	0.085
