Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[00:01:11] 	0.085	-	-	432	0.080	0.085	4	0.085	0.080
[08:31:05] 	-	-	-	-	-	-	-	-	-
[08:32:08] 	-	-	-	100	0.080	-	-	-	-
[08:32:50] 	-	-	-	150	0.080	0.095	50	-	-
[08:33:54] 	-	-	-	220	0.080	0.090	18	-	-
[08:35:12] 	-	-	-	220	0.080	0.090	48	-	-
[08:54:05] 	-	-	-	230	0.080	0.090	48	-	-
[08:57:25] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[08:58:07] 	-	-	-	230	0.080	0.090	48	-	-
[09:16:28] 	-	-	-	260	0.080	0.090	48	-	-
[09:29:48] 	-	-	-	265	0.080	0.090	48	-	-
[09:34:46] 	-	-	-	235	0.080	0.090	48	-	-
[09:38:00] 	-	-	-	20	0.085	0.090	48	-	-
[09:58:40] 	0.085	-	-	235	0.080	0.085	30	0.085	0.085
[10:43:55] 	0.085	-	-	235	0.080	0.085	50	0.085	0.085
[11:36:16] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[11:37:42] 	0.085	-	-	355	0.080	0.085	50	0.085	0.085
[12:22:33] 	0.085	-	-	405	0.080	0.085	50	0.085	0.085
[13:42:33] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[13:43:21] 	0.085	-	-	405	0.080	0.085	50	0.085	0.085
[16:57:39] 	0.085	-	-	405	0.080	0.090	38	0.085	0.085
[16:58:53] 	0.090	+0.005	+5.9	405	0.080	0.090	37	0.090	0.085
