Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[09:57:14] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[09:59:10] 	2.550	+0.020	+0.8	585	2.550	2.560	356	2.560	2.520
[10:00:14] 	2.550	+0.020	+0.8	354	2.550	2.560	438	2.560	2.520
[10:01:22] 	2.550	+0.020	+0.8	74	2.540	2.550	74	2.560	2.520
[10:02:40] 	2.540	+0.010	+0.4	20	2.540	2.550	219	2.560	2.520
[10:03:22] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:04:24] 	2.540	+0.010	+0.4	911	2.530	2.540	178	2.560	2.520
[10:05:12] 	2.550	+0.020	+0.8	214	2.540	2.550	315	2.560	2.520
[10:05:54] 	2.540	+0.010	+0.4	665	2.540	2.550	180	2.560	2.520
[10:06:13] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:06:39] 	2.540	+0.010	+0.4	665	2.540	2.550	180	2.560	2.520
[10:06:59] 	2.550	+0.020	+0.8	862	2.540	2.550	170	2.560	2.520
[10:07:57] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:08:22] 	2.550	+0.020	+0.8	863	2.540	2.550	171	2.560	2.520
[10:09:00] 	2.550	+0.020	+0.8	1,038	2.540	2.560	938	2.560	2.520
[10:09:52] 	2.550	+0.020	+0.8	1,038	2.540	2.550	32	2.560	2.520
[10:10:54] 	2.550	+0.020	+0.8	27	2.550	2.560	804	2.560	2.520
[10:11:55] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:13:42] 	2.550	+0.020	+0.8	1,281	2.540	2.550	52	2.560	2.520
[10:14:14] 	2.550	+0.020	+0.8	1,291	2.540	2.550	60	2.560	2.520
[10:15:16] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:16:26] 	2.550	+0.020	+0.8	34	2.550	2.560	861	2.560	2.520
[10:17:08] 	2.550	+0.020	+0.8	1,286	2.540	2.550	2	2.560	2.520
[10:18:15] 	2.550	+0.020	+0.8	209	2.550	2.560	907	2.560	2.520
[10:18:48] 	2.550	+0.020	+0.8	212	2.550	2.560	858	2.560	2.520
[10:20:02] 	2.550	+0.020	+0.8	216	2.550	2.560	859	2.560	2.520
[10:21:18] 	2.550	+0.020	+0.8	117	2.550	2.560	912	2.560	2.520
[10:22:25] 	2.540	+0.010	+0.4	562	2.540	2.550	212	2.560	2.520
[10:23:34] 	2.550	+0.020	+0.8	411	2.540	2.550	328	2.560	2.520
