Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[09:54:28] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[11:25:43] 	2.590	+0.060	+2.4	694	2.590	2.600	849	2.600	2.560
[11:26:48] 	2.600	+0.070	+2.8	726	2.590	2.600	846	2.600	2.560
[11:28:14] 	2.600	+0.070	+2.8	724	2.590	2.600	848	2.600	2.560
[11:29:19] 	2.600	+0.070	+2.8	722	2.590	2.600	848	2.600	2.560
[11:30:32] 	2.600	+0.070	+2.8	725	2.590	2.600	838	2.600	2.560
[11:31:37] 	2.600	+0.070	+2.8	724	2.590	2.600	840	2.600	2.560
[11:32:55] 	2.600	+0.070	+2.8	829	2.590	2.600	676	2.600	2.560
[11:34:03] 	2.600	+0.070	+2.8	829	2.590	2.600	677	2.600	2.560
[11:34:42] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[11:36:35] 	2.590	+0.060	+2.4	828	2.590	2.600	677	2.600	2.560
[11:37:47] 	2.590	+0.060	+2.4	828	2.590	2.600	688	2.600	2.560
[11:39:25] 	2.600	+0.070	+2.8	864	2.590	2.600	740	2.600	2.560
[11:40:48] 	2.600	+0.070	+2.8	862	2.590	2.600	739	2.600	2.560
[11:41:57] 	2.590	+0.060	+2.4	862	2.590	2.600	736	2.600	2.560
[11:43:46] 	2.590	+0.060	+2.4	877	2.590	2.600	743	2.600	2.560
[11:44:51] 	2.590	+0.060	+2.4	786	2.590	2.600	931	2.600	2.560
[11:45:56] 	2.590	+0.060	+2.4	712	2.590	2.600	770	2.600	2.560
[11:47:11] 	2.590	+0.060	+2.4	548	2.580	2.590	517	2.600	2.560
[11:48:15] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[11:49:37] 	2.580	+0.050	+2.0	547	2.580	2.590	519	2.600	2.560
[11:50:45] 	2.580	+0.050	+2.0	569	2.580	2.590	511	2.600	2.560
[11:51:54] 	2.580	+0.050	+2.0	575	2.580	2.590	515	2.600	2.560
[11:53:48] 	2.580	+0.050	+2.0	565	2.580	2.590	566	2.600	2.560
[11:55:16] 	2.580	+0.050	+2.0	573	2.580	2.590	526	2.600	2.560
[11:57:31] 	2.580	+0.050	+2.0	566	2.580	2.590	527	2.600	2.560
[11:58:57] 	2.580	+0.050	+2.0	555	2.580	2.590	546	2.600	2.560
[12:00:09] 	2.580	+0.050	+2.0	405	2.570	2.580	524	2.600	2.560
[12:01:23] 	2.580	+0.050	+2.0	413	2.570	2.580	525	2.600	2.560
