Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[10:00:53] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:02:00] 	2.450	+0.020	+0.8	534	2.440	2.450	505	2.450	2.430
[10:02:33] 	2.450	+0.020	+0.8	535	2.440	2.450	576	2.450	2.430
[10:03:38] 	2.440	+0.010	+0.4	536	2.440	2.450	576	2.450	2.430
[10:03:59] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:05:09] 	2.440	+0.010	+0.4	583	2.440	2.450	576	2.450	2.430
[10:05:50] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:06:31] 	2.450	+0.020	+0.8	561	2.440	2.450	579	2.450	2.430
[10:07:35] 	2.440	+0.010	+0.4	558	2.440	2.450	608	2.450	2.430
[10:08:38] 	2.440	+0.010	+0.4	604	2.440	2.450	625	2.450	2.430
[10:10:37] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:11:55] 	2.450	+0.020	+0.8	599	2.440	2.450	686	2.450	2.430
[10:13:13] 	2.440	+0.010	+0.4	616	2.440	2.450	615	2.450	2.430
[10:14:16] 	2.450	+0.020	+0.8	616	2.440	2.450	614	2.450	2.430
[10:15:18] 	2.450	+0.020	+0.8	618	2.440	2.450	614	2.450	2.430
[10:16:22] 	2.450	+0.020	+0.8	702	2.440	2.450	606	2.450	2.430
[10:17:30] 	2.440	+0.010	+0.4	688	2.440	2.450	605	2.450	2.430
[10:18:32] 	2.450	+0.020	+0.8	687	2.440	2.450	447	2.450	2.430
[10:19:35] 	2.440	+0.010	+0.4	982	2.440	2.450	447	2.450	2.430
[10:20:38] 	2.440	+0.010	+0.4	1,016	2.440	2.450	447	2.450	2.430
[10:21:40] 	2.450	+0.020	+0.8	1,017	2.440	2.450	426	2.450	2.430
[10:22:43] 	2.450	+0.020	+0.8	333	2.450	2.460	1,315	2.450	2.430
[10:22:53] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:24:28] 	2.450	+0.020	+0.8	233	2.450	2.460	1,468	2.460	2.430
[10:25:37] 	2.450	+0.020	+0.8	212	2.450	2.460	1,458	2.460	2.430
[10:27:20] 	2.450	+0.020	+0.8	273	2.450	2.460	1,455	2.460	2.430
[10:29:38] 	2.450	+0.020	+0.8	272	2.450	2.460	1,454	2.460	2.430
[10:29:49] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:30:40] 	2.450	+0.020	+0.8	1,204	2.440	2.450	100	2.460	2.430
[10:31:38] 	2.450	+0.020	+0.8	1,194	2.440	2.450	109	2.460	2.430
[10:32:40] 	2.450	+0.020	+0.8	145	2.450	2.460	1,504	2.460	2.430
[10:33:42] 	2.450	+0.020	+0.8	200	2.450	2.460	1,500	2.460	2.430
[10:34:19] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:35:31] 	2.450	+0.020	+0.8	518	2.450	2.460	1,503	2.460	2.430
[10:36:33] 	2.450	+0.020	+0.8	520	2.450	2.460	1,435	2.460	2.430
[10:37:36] 	2.460	+0.030	+1.2	796	2.450	2.460	562	2.460	2.430
[10:38:39] 	2.460	+0.030	+1.2	416	2.460	2.470	951	2.460	2.430
[10:39:48] 	2.470	+0.040	+1.6	454	2.460	2.470	1,025	2.470	2.430
[10:40:56] 	2.470	+0.040	+1.6	459	2.460	2.470	1,530	2.470	2.430
