Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[11:08:52] 	2.700	+0.040	+1.5	211	2.700	2.710	23	2.710	2.660
[20:14:49] 	2.700	+0.040	+1.5	211	2.700	2.710	23	2.710	2.660
[20:15:58] 	2.700	+0.040	+1.5	211	2.700	2.710	23	2.710	2.660
[09:49:47] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[09:50:24] 	2.690	-0.010	-0.4	51	2.680	2.690	47	2.690	2.670
[09:51:59] 	2.690	-0.010	-0.4	51	2.680	2.690	50	2.690	2.670
[09:54:19] 	2.680	-0.020	-0.7	42	2.680	2.690	16	2.690	2.670
[09:56:03] 	2.680	-0.020	-0.7	42	2.680	2.690	18	2.690	2.670
[09:59:19] 	2.700	-	-	5	2.690	2.700	43	2.700	2.670
[09:59:41] 	2.700	-	-	10	2.690	2.700	43	2.700	2.670
[10:01:55] 	2.700	-	-	32	2.690	2.700	32	2.700	2.670
[10:05:08] 	2.700	-	-	42	2.690	2.700	32	2.700	2.670
