Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[09:56:59] 	14.980	-0.100	-0.7	3	14.960	14.980	3	15.040	14.720
[09:57:39] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:15:31] 	15.060	-0.020	-0.1	12	15.060	15.080	17	15.080	14.720
[10:16:06] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[11:10:18] 	15.240	+0.160	+1.1	6	15.220	15.240	22	15.240	14.720
[11:11:08] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[11:32:01] 	15.220	+0.140	+0.9	23	15.200	15.240	34	15.260	14.720
[11:33:01] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:04:13] 	15.540	+0.460	+3.1	1	15.540	15.560	1	15.580	14.720
[12:04:45] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:22:12] 	15.640	+0.560	+3.7	5	15.620	15.640	8	15.700	14.720
[12:22:30] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:27:35] 	15.500	+0.420	+2.8	6	15.440	15.520	10	15.700	14.720
[12:27:45] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:35:43] 	15.460	+0.380	+2.5	7	15.440	15.460	5	15.700	14.720
[12:35:51] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:36:20] 	15.460	+0.380	+2.5	7	15.440	15.460	5	15.700	14.720
[12:36:24] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:36:53] 	15.460	+0.380	+2.5	7	15.440	15.460	5	15.700	14.720
[12:37:03] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:37:07] 	15.460	+0.380	+2.5	7	15.440	15.460	5	15.700	14.720
[12:37:13] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:37:46] 	15.460	+0.380	+2.5	7	15.440	15.460	5	15.700	14.720
[12:37:50] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:38:02] 	15.460	+0.380	+2.5	7	15.440	15.460	5	15.700	14.720
[12:38:23] 	15.460	+0.380	+2.5	1	15.480	15.460	5	15.700	14.720
[12:38:56] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:39:09] 	15.460	+0.380	+2.5	1	15.480	15.460	5	15.700	14.720
[12:44:27] 	15.460	+0.380	+2.5	1	15.480	15.460	10	15.700	14.720
[12:46:44] 	15.460	+0.380	+2.5	1	15.480	15.460	11	15.700	14.720
[12:47:51] 	15.460	+0.380	+2.5	4	15.520	15.460	11	15.700	14.720
[12:48:24] 	15.460	+0.380	+2.5	4	15.520	15.440	1	15.700	14.720
[12:52:21] 	15.460	+0.380	+2.5	4	15.540	15.440	1	15.700	14.720
[12:53:29] 	15.460	+0.380	+2.5	4	15.520	15.440	1	15.700	14.720
[12:55:44] 	15.460	+0.380	+2.5	4	15.520	15.400	2	15.700	14.720
[13:04:27] 	15.460	+0.380	+2.5	4	15.520	15.000	2	15.700	14.720
