Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[09:43:42] 	2.120	+0.010	+0.5	51	2.110	2.120	26	2.120	2.120
[09:48:17] 	2.120	+0.010	+0.5	51	2.110	2.120	40	2.120	2.120
[10:39:12] 	2.120	+0.010	+0.5	51	2.110	2.120	36	2.120	2.120
[10:42:17] 	2.120	+0.010	+0.5	51	2.110	2.120	40	2.120	2.120
[10:57:17] 	2.120	+0.010	+0.5	51	2.110	2.120	37	2.120	2.120
[11:06:24] 	2.120	+0.010	+0.5	51	2.110	2.120	40	2.120	2.120
[11:18:35] 	2.120	+0.010	+0.5	51	2.110	2.120	38	2.120	2.120
[11:25:43] 	2.120	+0.010	+0.5	51	2.110	2.120	40	2.120	2.120
[11:51:22] 	2.110	-	-	40	2.100	2.110	29	2.120	2.110
[12:29:15] 	2.110	-	-	40	2.100	2.110	40	2.120	2.110
[16:59:13] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:59:39] 	2.110	-	-	40	2.100	2.110	40	2.120	2.110
