Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[09:33:39] 	4.480	-0.010	-0.2	-	4.470	4.480	2	4.480	4.480
[10:23:24] 	4.480	-0.010	-0.2	-	4.470	4.480	1	4.480	4.480
[11:02:14] 	4.480	-0.010	-0.2	-	4.470	4.480	1	4.480	4.480
[11:04:54] 	4.480	-0.010	-0.2	-	4.470	4.480	1	4.480	4.480
[11:08:12] 	4.480	-0.010	-0.2	-	4.470	4.480	1	4.480	4.480
[11:11:07] 	4.480	-0.010	-0.2	-	4.470	4.480	1	4.480	4.480
[11:22:38] 	4.480	-0.010	-0.2	-	4.470	4.480	1	4.480	4.480
[11:47:33] 	4.480	-0.010	-0.2	450	4.470	4.480	1	4.480	4.480
[13:02:43] 	4.480	-0.010	-0.2	450	4.470	4.480	1	4.480	4.480
[13:41:45] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[13:44:06] 	4.480	-0.010	-0.2	450	4.470	4.480	1	4.480	4.480
[13:50:56] 	4.480	-0.010	-0.2	-	4.470	4.480	1	4.480	4.480
[14:55:03] 	4.480	-0.010	-0.2	450	4.470	4.480	1	4.480	4.480
[14:58:10] 	4.480	-0.010	-0.2	-	4.470	4.480	1	4.480	4.480
[15:21:42] 	4.480	-0.010	-0.2	-	4.470	4.480	1	4.480	4.480
[15:54:55] 	4.480	-0.010	-0.2	-	4.470	4.480	351	4.480	4.480
[16:03:58] 	4.470	-0.020	-0.4	1	4.460	4.470	350	4.480	4.470
[16:55:09] 	4.470	-0.020	-0.4	1	4.460	4.470	105	4.480	4.470
[16:59:59] 	4.470	-0.020	-0.4	1	4.460	4.480	1	4.480	4.470
[09:33:44] 	4.380	-0.070	-1.6	451	4.360	4.390	350	4.380	4.380
