Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[09:50:02] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[09:50:25] 	-	-	-	450	3.800	3.830	351	-	-
[10:06:13] 	-	-	-	450	3.800	3.830	351	-	-
[10:56:24] 	-	-	-	450	3.810	3.830	1	-	-
[10:58:56] 	-	-	-	450	3.800	3.830	351	-	-
[10:59:29] 	-	-	-	450	3.810	3.830	1	-	-
[11:02:33] 	-	-	-	450	3.800	3.830	351	-	-
[11:08:22] 	-	-	-	450	3.800	3.830	1	-	-
[11:10:27] 	-	-	-	450	3.810	3.830	1	-	-
[11:12:27] 	-	-	-	450	3.800	3.830	351	-	-
[11:38:32] 	-	-	-	450	3.800	3.830	1	-	-
[11:39:22] 	-	-	-	451	3.810	3.830	1	-	-
[11:40:28] 	-	-	-	1	3.810	3.830	351	-	-
[11:42:38] 	-	-	-	1	3.810	3.830	1	-	-
[11:44:19] 	-	-	-	1	3.810	3.830	351	-	-
[11:53:26] 	-	-	-	1	3.810	3.830	1	-	-
[11:54:21] 	-	-	-	451	3.810	3.830	1	-	-
[11:55:30] 	-	-	-	1	3.810	3.830	1	-	-
[11:56:26] 	-	-	-	451	3.810	3.830	1	-	-
[11:57:21] 	-	-	-	1	3.810	3.830	351	-	-
[12:22:34] 	-	-	-	1	3.810	3.830	1	-	-
[12:24:27] 	-	-	-	1	3.810	3.830	351	-	-
[13:48:19] 	-	-	-	1	3.810	3.830	1	-	-
[13:59:39] 	3.800	-0.060	-1.6	450	3.800	3.830	351	3.830	3.800
[14:15:25] 	3.830	-0.030	-0.8	450	3.800	3.830	351	3.830	3.800
[14:44:21] 	3.830	-0.030	-0.8	450	3.810	3.830	1	3.830	3.800
[14:51:37] 	3.830	-0.030	-0.8	450	3.800	3.830	351	3.830	3.800
[15:00:39] 	3.830	-0.030	-0.8	450	3.800	3.830	1	3.830	3.800
[15:01:35] 	3.830	-0.030	-0.8	450	3.810	3.830	1	3.830	3.800
[15:19:31] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:25:22] 	3.830	-0.030	-0.8	450	3.800	3.830	350	3.830	3.800
[16:54:32] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[17:30:26] 	3.830	-0.030	-0.8	2	3.740	3.830	-	3.830	3.800
[08:28:18] 	-	-	-	-	-	-	-	-	-
[09:01:20] 	-	-	-	450	3.730	3.760	350	-	-
[09:03:34] 	-	-	-	450	3.740	3.770	350	-	-
[09:10:29] 	-	-	-	450	3.730	3.770	350	-	-
[09:11:32] 	-	-	-	450	3.740	3.770	350	-	-
[09:14:24] 	-	-	-	450	3.730	3.770	350	-	-
[09:16:25] 	-	-	-	450	3.730	3.760	350	-	-
[09:17:26] 	-	-	-	450	3.740	3.770	350	-	-
[09:21:21] 	-	-	-	450	3.730	3.760	350	-	-
[09:23:15] 	-	-	-	450	3.740	3.770	350	-	-
[09:27:27] 	-	-	-	450	3.730	3.760	350	-	-
