Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[00:00:01] 	2.020	-0.020	-1.0	1	1.950	2.040	1	2.030	2.020
[08:30:13] 	-	-	-	-	-	-	-	-	-
[09:01:26] 	-	-	-	40	2.010	2.020	40	-	-
[11:13:06] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[11:13:22] 	-	-	-	40	2.010	2.020	40	-	-
[11:47:00] 	2.010	-0.010	-0.5	35	2.010	2.020	40	2.010	2.010
[12:29:51] 	2.010	-0.010	-0.5	40	2.000	2.020	40	2.010	2.010
[14:18:36] 	2.010	-0.010	-0.5	40	2.010	2.020	40	2.010	2.010
[15:31:30] 	2.010	-0.010	-0.5	40	2.000	2.020	40	2.010	2.010
[15:32:32] 	2.010	-0.010	-0.5	40	2.000	2.010	40	2.010	2.010
[15:41:20] 	2.010	-0.010	-0.5	41	2.000	2.010	40	2.010	2.010
[15:48:52] 	2.010	-0.010	-0.5	40	2.000	2.010	40	2.010	2.010
[15:49:54] 	2.010	-0.010	-0.5	40	2.000	2.010	39	2.010	2.010
[15:57:25] 	2.010	-0.010	-0.5	40	2.010	2.020	40	2.010	2.010
[15:58:27] 	2.010	-0.010	-0.5	40	2.000	2.020	40	2.010	2.010
[15:59:29] 	2.010	-0.010	-0.5	40	2.010	2.020	40	2.010	2.010
[16:04:51] 	2.010	-0.010	-0.5	40	2.000	2.020	40	2.010	2.010
[16:05:54] 	2.010	-0.010	-0.5	40	2.010	2.020	40	2.010	2.010
[16:10:34] 	2.010	-0.010	-0.5	40	2.000	2.010	40	2.010	2.010
[16:17:34] 	2.010	-0.010	-0.5	40	2.010	2.020	40	2.010	2.010
[16:19:29] 	2.010	-0.010	-0.5	40	2.000	2.020	40	2.010	2.010
[16:20:43] 	2.010	-0.010	-0.5	40	2.010	2.020	40	2.010	2.010
[16:27:35] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:27:49] 	2.010	-0.010	-0.5	40	2.010	2.020	40	2.010	2.010
[16:28:16] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:28:37] 	2.010	-0.010	-0.5	40	2.010	2.020	40	2.010	2.010
[16:29:11] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:29:42] 	2.010	-0.010	-0.5	40	2.010	2.020	40	2.010	2.010
[16:52:27] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:52:42] 	2.010	-0.010	-0.5	40	2.010	2.020	40	2.010	2.010
[16:53:08] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:53:25] 	2.010	-0.010	-0.5	40	2.010	2.020	40	2.010	2.010
[16:54:44] 	2.010	-0.010	-0.5	12	2.010	2.020	12	2.010	2.010
[16:59:31] 	2.010	-0.010	-0.5	1	1.800	-	-	2.010	2.010
