Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[10:21:23] 	2.190	-0.040	-1.8	40	2.180	2.190	40	2.200	2.190
[00:00:06] 	2.200	-0.030	-1.3	2	2.160	-	-	2.200	2.180
[08:29:36] 	-	-	-	-	-	-	-	-	-
[08:31:38] 	-	-	-	2	2.160	-	-	-	-
[08:34:57] 	-	-	-	1	2.200	-	-	-	-
[09:00:38] 	-	-	-	8	2.220	2.240	8	-	-
[09:02:05] 	-	-	-	1	2.200	-	-	-	-
[09:02:44] 	-	-	-	40	2.230	2.240	40	-	-
[09:06:26] 	-	-	-	40	2.220	2.240	40	-	-
[09:07:38] 	-	-	-	40	2.230	2.240	40	-	-
[09:19:38] 	-	-	-	40	2.220	2.240	40	-	-
[09:20:45] 	-	-	-	40	2.220	2.230	40	-	-
[10:19:42] 	2.230	+0.030	+1.4	40	2.220	2.230	34	2.230	2.230
[10:22:33] 	2.230	+0.030	+1.4	40	2.220	2.230	40	2.230	2.230
[10:48:29] 	2.230	+0.030	+1.4	40	2.220	2.230	30	2.230	2.230
[12:08:00] 	2.230	+0.030	+1.4	40	2.230	2.240	40	2.230	2.230
[12:11:15] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:11:24] 	2.230	+0.030	+1.4	40	2.230	2.240	40	2.230	2.230
[12:12:18] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:12:31] 	2.230	+0.030	+1.4	40	2.230	2.240	40	2.230	2.230
[12:12:51] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:12:55] 	2.230	+0.030	+1.4	40	2.230	2.240	40	2.230	2.230
[12:15:45] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:17:04] 	2.230	+0.030	+1.4	40	2.230	2.240	40	2.230	2.230
[14:11:05] 	2.230	+0.030	+1.4	40	2.220	2.240	40	2.230	2.230
[14:17:44] 	2.230	+0.030	+1.4	40	2.220	2.230	40	2.230	2.230
[14:23:32] 	2.230	+0.030	+1.4	40	2.220	2.240	40	2.230	2.230
[14:28:33] 	2.230	+0.030	+1.4	40	2.220	2.230	40	2.230	2.230
[14:30:27] 	2.230	+0.030	+1.4	40	2.220	2.240	40	2.230	2.230
[14:30:44] 	2.230	+0.030	+1.4	40	2.220	2.230	40	2.230	2.230
[14:34:34] 	2.230	+0.030	+1.4	40	2.230	2.240	40	2.230	2.230
[14:35:56] 	2.230	+0.030	+1.4	40	2.220	2.240	40	2.230	2.230
[14:36:47] 	2.230	+0.030	+1.4	40	2.230	2.240	40	2.230	2.230
[14:41:18] 	2.230	+0.030	+1.4	40	2.220	2.230	40	2.230	2.230
[15:54:52] 	2.230	+0.030	+1.4	40	2.230	2.240	40	2.230	2.230
[16:23:53] 	2.230	+0.030	+1.4	40	2.230	2.250	40	2.230	2.230
[16:24:28] 	2.230	+0.030	+1.4	40	2.230	2.240	40	2.230	2.230
[16:25:52] 	2.230	+0.030	+1.4	40	2.230	2.250	40	2.230	2.230
[16:26:29] 	2.230	+0.030	+1.4	40	2.240	2.250	40	2.230	2.230
[16:29:46] 	2.230	+0.030	+1.4	40	2.230	2.240	40	2.230	2.230
[16:54:42] 	2.240	+0.040	+1.8	12	2.230	2.240	39	2.240	2.230
[16:55:32] 	2.240	+0.040	+1.8	12	2.230	2.240	12	2.240	2.230
[17:01:26] 	2.240	+0.040	+1.8	4	2.230	-	-	2.240	2.230
[17:02:33] 	2.240	+0.040	+1.8	1	2.240	-	-	2.240	2.230
