Time		Index		Change
[10:02:04] 	<td>		</td>
[13:05:37] 	2,251.87		+6.60
[13:06:41] 	2,251.70		+6.43
[13:07:41] 	2,251.80		+6.53
[13:09:38] 	2,251.70		+6.43
[13:10:39] 	2,251.80		+6.53
[13:14:37] 	2,251.86		+6.59
[13:15:41] 	2,251.87		+6.60
[13:19:39] 	2,251.91		+6.64
[13:20:39] 	2,251.86		+6.59
[13:21:41] 	2,251.91		+6.64
[13:22:40] 	2,251.86		+6.59
[13:24:41] 	2,251.87		+6.60
[13:25:37] 	2,251.86		+6.59
[13:26:38] 	2,251.80		+6.53
[13:27:41] 	2,251.87		+6.60
[13:28:40] 	2,251.86		+6.59
[13:30:42] 	2,251.80		+6.53
[13:31:41] 	2,251.82		+6.55
[13:32:38] 	2,251.84		+6.57
[13:33:42] 	2,251.75		+6.48
[13:34:40] 	2,251.77		+6.50
[13:35:41] 	2,251.79		+6.52
[13:36:39] 	2,251.77		+6.50
[13:44:41] 	2,251.75		+6.48
[13:46:36] 	2,251.67		+6.40
[13:47:47] 	2,251.75		+6.48
[13:48:37] 	2,251.79		+6.52
[13:50:39] 	2,251.82		+6.55
[13:51:39] 	2,251.79		+6.52
[13:57:38] 	2,251.82		+6.55
[13:58:39] 	2,251.86		+6.59
[13:59:41] 	2,251.84		+6.57
[14:00:40] 	2,251.15		+5.88
[14:01:40] 	2,251.97		+6.70
[14:02:39] 	2,254.13		+8.86
[14:03:38] 	2,253.88		+8.61
[14:04:38] 	2,255.51		+10.24
[14:05:38] 	2,255.96		+10.69
[14:06:39] 	2,255.13		+9.86
[14:07:39] 	2,255.60		+10.33
[14:08:38] 	2,257.11		+11.84
[14:09:38] 	2,258.36		+13.09
[14:10:38] 	2,258.22		+12.95
[14:11:37] 	2,259.58		+14.31
[14:12:37] 	2,260.52		+15.25
[14:13:41] 	2,261.81		+16.54
[14:14:40] 	2,261.94		+16.67
[14:15:41] 	2,262.68		+17.41
[14:16:38] 	2,264.28		+19.01
[14:17:37] 	2,263.92		+18.65
[14:18:39] 	2,264.48		+19.21
[14:19:38] 	2,265.62		+20.35
[14:20:38] 	2,266.23		+20.96
[14:21:37] 	2,265.52		+20.25
[14:22:40] 	2,265.34		+20.07
[14:23:37] 	2,266.06		+20.79
[14:24:42] 	2,267.64		+22.37
[14:25:37] 	2,268.48		+23.21
[14:26:37] 	2,271.06		+25.79
[14:27:41] 	2,270.63		+25.36
[14:28:40] 	2,270.72		+25.45
[14:29:40] 	2,270.71		+25.44
[14:30:42] 	2,271.26		+25.99
[14:31:38] 	2,270.73		+25.46
[14:32:37] 	2,270.27		+25.00
[14:33:40] 	2,269.25		+23.98
[14:34:37] 	2,267.69		+22.42
[14:35:39] 	2,269.23		+23.96
[14:36:40] 	2,270.22		+24.95
[14:37:45] 	2,269.74		+24.47
[14:38:41] 	2,267.97		+22.70
[14:39:38] 	2,269.42		+24.15
[14:40:40] 	2,269.03		+23.76
[14:41:40] 	2,268.70		+23.43
[14:42:38] 	2,269.83		+24.56
[14:43:38] 	2,270.40		+25.13
[14:44:37] 	2,270.33		+25.06
[14:45:37] 	2,272.03		+26.76
