Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[09:51:08] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:03:07] 	8.360	+0.230	+2.8	23	8.360	8.370	67	8.380	8.150
[12:04:19] 	8.370	+0.240	+3.0	62	8.360	8.370	30	8.380	8.150
[12:05:27] 	8.370	+0.240	+3.0	70	8.360	8.370	15	8.380	8.150
[12:06:31] 	8.370	+0.240	+3.0	40	8.370	8.380	206	8.380	8.150
[12:07:37] 	8.380	+0.250	+3.1	41	8.370	8.380	194	8.380	8.150
[12:08:40] 	8.380	+0.250	+3.1	49	8.370	8.380	162	8.380	8.150
[12:09:47] 	8.380	+0.250	+3.1	62	8.370	8.380	162	8.380	8.150
[12:11:03] 	8.370	+0.240	+3.0	35	8.370	8.380	164	8.380	8.150
[12:12:12] 	8.370	+0.240	+3.0	61	8.360	8.370	3	8.380	8.150
[12:13:24] 	8.370	+0.240	+3.0	62	8.370	8.380	153	8.380	8.150
[12:14:31] 	8.370	+0.240	+3.0	63	8.370	8.380	153	8.380	8.150
[12:15:28] 	8.370	+0.240	+3.0	67	8.370	8.380	154	8.380	8.150
[12:16:23] 	8.380	+0.250	+3.1	70	8.370	8.380	147	8.380	8.150
[12:17:21] 	8.370	+0.240	+3.0	71	8.370	8.380	149	8.380	8.150
[12:19:29] 	8.380	+0.250	+3.1	89	8.370	8.380	136	8.380	8.150
[12:20:38] 	8.380	+0.250	+3.1	90	8.370	8.380	135	8.380	8.150
[12:21:39] 	8.380	+0.250	+3.1	89	8.370	8.380	133	8.380	8.150
[12:22:46] 	8.380	+0.250	+3.1	99	8.370	8.380	121	8.380	8.150
[12:23:51] 	8.380	+0.250	+3.1	97	8.370	8.380	78	8.380	8.150
[12:25:29] 	8.370	+0.240	+3.0	115	8.370	8.380	78	8.380	8.150
[12:26:39] 	8.370	+0.240	+3.0	110	8.370	8.380	73	8.380	8.150
[12:27:49] 	8.380	+0.250	+3.1	92	8.370	8.380	79	8.380	8.150
[12:28:55] 	8.370	+0.240	+3.0	95	8.370	8.380	70	8.380	8.150
[12:30:08] 	8.380	+0.250	+3.1	10	8.380	8.380	37	8.380	8.150
[12:31:13] 	8.380	+0.250	+3.1	40	8.380	8.380	38	8.380	8.150
[12:33:35] 	8.380	+0.250	+3.1	31	8.480	8.380	37	8.380	8.150
[12:34:46] 	8.380	+0.250	+3.1	31	8.480	8.380	39	8.380	8.150
[12:36:38] 	8.380	+0.250	+3.1	31	8.480	8.380	40	8.380	8.150
[12:39:27] 	8.380	+0.250	+3.1	31	8.480	8.380	39	8.380	8.150
[12:48:22] 	8.380	+0.250	+3.1	34	8.480	8.380	39	8.380	8.150
[12:49:41] 	8.380	+0.250	+3.1	34	8.480	8.380	41	8.380	8.150
[12:55:25] 	8.380	+0.250	+3.1	16	8.630	8.380	41	8.380	8.150
[12:57:34] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:58:35] 	8.380	+0.250	+3.1	16	8.630	8.380	41	8.380	8.150
[13:04:47] 	8.380	+0.250	+3.1	16	8.630	8.380	42	8.380	8.150
[13:08:26] 	8.380	+0.250	+3.1	16	8.630	8.380	41	8.380	8.150
[13:14:59] 	8.380	+0.250	+3.1	16	8.630	8.360	25	8.380	8.150
[13:43:59] 	8.380	+0.250	+3.1	16	8.630	8.350	2	8.380	8.150
[13:51:21] 	8.380	+0.250	+3.1	16	8.630	8.350	3	8.380	8.150
[14:00:19] 	8.380	+0.250	+3.1	35	8.370	8.380	28	8.380	8.150
[14:00:52] 	8.390	+0.260	+3.2	80	8.380	8.390	69	8.390	8.150
[14:02:26] 	8.390	+0.260	+3.2	86	8.380	8.390	43	8.390	8.150
[14:03:35] 	8.400	+0.270	+3.3	46	8.390	8.400	444	8.400	8.150
[14:04:35] 	8.390	+0.260	+3.2	60	8.390	8.400	434	8.400	8.150
[14:05:11] 	8.400	+0.270	+3.3	107	8.390	8.400	438	8.400	8.150
[14:06:10] 	8.400	+0.270	+3.3	109	8.390	8.400	478	8.400	8.150
[14:07:16] 	8.390	+0.260	+3.2	122	8.390	8.400	473	8.400	8.150
[14:08:22] 	8.400	+0.270	+3.3	115	8.390	8.400	446	8.400	8.150
[14:09:40] 	8.400	+0.270	+3.3	136	8.390	8.400	351	8.400	8.150
[14:10:44] 	8.400	+0.270	+3.3	146	8.390	8.400	350	8.400	8.150
[14:11:50] 	8.390	+0.260	+3.2	157	8.390	8.400	340	8.400	8.150
[14:13:15] 	8.390	+0.260	+3.2	176	8.390	8.400	337	8.400	8.150
[14:14:30] 	8.390	+0.260	+3.2	165	8.390	8.400	375	8.400	8.150
[14:16:07] 	8.390	+0.260	+3.2	123	8.390	8.400	355	8.400	8.150
[14:17:18] 	8.400	+0.270	+3.3	96	8.390	8.400	300	8.400	8.150
[14:18:24] 	8.400	+0.270	+3.3	108	8.390	8.400	263	8.400	8.150
[14:19:31] 	8.390	+0.260	+3.2	102	8.390	8.400	265	8.400	8.150
[14:20:35] 	8.400	+0.270	+3.3	95	8.390	8.400	257	8.400	8.150
[14:21:51] 	8.390	+0.260	+3.2	87	8.390	8.400	282	8.400	8.150
[14:22:58] 	8.390	+0.260	+3.2	34	8.390	8.400	286	8.400	8.150
[14:24:16] 	8.380	+0.250	+3.1	70	8.370	8.380	26	8.400	8.150
[14:26:15] 	8.380	+0.250	+3.1	68	8.380	8.390	36	8.400	8.150
[14:27:22] 	8.380	+0.250	+3.1	78	8.380	8.390	37	8.400	8.150
[14:28:31] 	8.390	+0.260	+3.2	64	8.390	8.400	249	8.400	8.150
[14:29:51] 	8.400	+0.270	+3.3	109	8.390	8.400	223	8.400	8.150
[14:30:54] 	8.390	+0.260	+3.2	87	8.390	8.400	322	8.400	8.150
[14:32:13] 	8.390	+0.260	+3.2	1	8.390	8.400	321	8.400	8.150
[14:33:23] 	8.390	+0.260	+3.2	57	8.380	8.390	27	8.400	8.150
[14:34:28] 	8.390	+0.260	+3.2	67	8.380	8.390	33	8.400	8.150
[14:35:37] 	8.390	+0.260	+3.2	67	8.380	8.390	29	8.400	8.150
[14:36:45] 	8.390	+0.260	+3.2	66	8.380	8.390	31	8.400	8.150
[14:37:51] 	8.390	+0.260	+3.2	64	8.380	8.390	31	8.400	8.150
[14:38:55] 	8.390	+0.260	+3.2	45	8.380	8.390	35	8.400	8.150
[14:40:09] 	8.390	+0.260	+3.2	51	8.380	8.390	47	8.400	8.150
[14:41:13] 	8.390	+0.260	+3.2	84	8.380	8.390	36	8.400	8.150
[14:42:26] 	8.390	+0.260	+3.2	84	8.380	8.390	39	8.400	8.150
[14:43:36] 	8.390	+0.260	+3.2	76	8.380	8.390	34	8.400	8.150
[14:44:57] 	8.390	+0.260	+3.2	68	8.380	8.390	30	8.400	8.150
[14:46:01] 	8.390	+0.260	+3.2	34	8.390	8.400	349	8.400	8.150
[14:47:07] 	8.400	+0.270	+3.3	63	8.390	8.400	339	8.400	8.150
[14:48:27] 	8.390	+0.260	+3.2	110	8.390	8.400	334	8.400	8.150
[14:49:31] 	8.390	+0.260	+3.2	109	8.390	8.400	335	8.400	8.150
[14:50:37] 	8.390	+0.260	+3.2	112	8.390	8.400	330	8.400	8.150
[14:51:45] 	8.390	+0.260	+3.2	100	8.390	8.400	330	8.400	8.150
[14:52:49] 	8.400	+0.270	+3.3	167	8.390	8.400	321	8.400	8.150
[14:53:56] 	8.420	+0.290	+3.6	19	8.410	8.420	43	8.420	8.150
[14:55:03] 	8.420	+0.290	+3.6	85	8.410	8.420	10	8.420	8.150
[14:56:14] 	8.420	+0.290	+3.6	85	8.410	8.420	14	8.420	8.150
[14:57:29] 	8.420	+0.290	+3.6	48	8.410	8.420	36	8.420	8.150
[14:58:40] 	8.410	+0.280	+3.4	30	8.400	8.410	40	8.420	8.150
[14:59:52] 	8.400	+0.270	+3.3	126	8.390	8.400	41	8.420	8.150
[15:00:55] 	8.400	+0.270	+3.3	126	8.390	8.400	35	8.420	8.150
