Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[07:11:33] 	8.740	+0.320	+3.8	60	8.730	8.740	6	8.750	8.450
[09:09:44] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:04:14] 	8.490	-0.250	-2.9	5	8.490	8.500	30	8.900	8.470
[14:05:23] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:05:43] 	8.490	-0.250	-2.9	39	8.490	8.500	20	8.900	8.470
[14:06:06] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:07:04] 	8.510	-0.230	-2.6	33	8.500	8.510	13	8.900	8.470
[14:07:58] 	8.510	-0.230	-2.6	32	8.510	8.520	15	8.900	8.470
[14:08:38] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:09:42] 	8.520	-0.220	-2.5	35	8.510	8.530	15	8.900	8.470
[14:10:52] 	8.540	-0.200	-2.3	23	8.540	8.550	6	8.900	8.470
[14:11:55] 	8.540	-0.200	-2.3	1	8.530	8.540	4	8.900	8.470
[14:12:59] 	8.520	-0.220	-2.5	4	8.520	8.530	6	8.900	8.470
[14:14:23] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:15:00] 	8.520	-0.220	-2.5	7	8.520	8.530	15	8.900	8.470
[14:15:53] 	8.520	-0.220	-2.5	7	8.520	8.530	15	8.900	8.470
[14:17:27] 	8.530	-0.210	-2.4	8	8.520	8.530	4	8.900	8.470
[14:18:09] 	8.530	-0.210	-2.4	3	8.530	8.540	5	8.900	8.470
[14:19:18] 	8.530	-0.210	-2.4	9	8.530	8.540	5	8.900	8.470
[14:19:49] 	8.540	-0.200	-2.3	4	8.540	8.550	21	8.900	8.470
[14:20:52] 	8.540	-0.200	-2.3	22	8.540	8.550	20	8.900	8.470
[14:21:56] 	8.550	-0.190	-2.2	22	8.540	8.550	16	8.900	8.470
[14:22:54] 	8.540	-0.200	-2.3	23	8.540	8.550	14	8.900	8.470
[14:24:17] 	8.540	-0.200	-2.3	8	8.530	8.550	14	8.900	8.470
[14:25:21] 	8.530	-0.210	-2.4	18	8.520	8.530	11	8.900	8.470
[14:26:04] 	8.530	-0.210	-2.4	22	8.520	8.530	10	8.900	8.470
[14:27:07] 	8.530	-0.210	-2.4	4	8.530	8.540	11	8.900	8.470
[14:28:16] 	8.530	-0.210	-2.4	22	8.530	8.540	6	8.900	8.470
[14:29:56] 	8.530	-0.210	-2.4	25	8.530	8.540	15	8.900	8.470
[14:31:32] 	8.530	-0.210	-2.4	15	8.520	8.530	5	8.900	8.470
[14:35:36] 	8.530	-0.210	-2.4	15	8.520	8.530	1	8.900	8.470
[14:37:00] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:38:00] 	8.510	-0.230	-2.6	2	8.510	8.520	1	8.900	8.470
[15:22:01] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[15:23:02] 	8.570	-0.170	-1.9	24	8.570	8.580	40	8.900	8.470
[15:24:14] 	8.570	-0.170	-1.9	22	8.570	8.580	42	8.900	8.470
[15:25:21] 	8.590	-0.150	-1.7	26	8.590	8.600	127	8.900	8.470
[15:26:10] 	8.590	-0.150	-1.7	12	8.590	8.600	79	8.900	8.470
[15:27:13] 	8.590	-0.150	-1.7	17	8.590	8.600	69	8.900	8.470
[15:28:19] 	8.590	-0.150	-1.7	12	8.580	8.590	4	8.900	8.470
[15:28:51] 	8.590	-0.150	-1.7	3	8.590	8.600	62	8.900	8.470
[15:29:52] 	8.590	-0.150	-1.7	5	8.590	8.600	63	8.900	8.470
[15:31:03] 	8.590	-0.150	-1.7	19	8.580	8.590	10	8.900	8.470
[15:32:08] 	8.600	-0.140	-1.6	41	8.580	8.600	9	8.900	8.470
[15:33:16] 	8.620	-0.120	-1.4	17	8.610	8.630	15	8.900	8.470
[15:34:22] 	8.640	-0.100	-1.1	19	8.630	8.640	11	8.900	8.470
[15:35:25] 	8.630	-0.110	-1.3	23	8.620	8.630	1	8.900	8.470
[15:36:48] 	8.610	-0.130	-1.5	11	8.600	8.610	17	8.900	8.470
[15:37:51] 	8.590	-0.150	-1.7	8	8.590	8.600	8	8.900	8.470
[15:39:04] 	8.590	-0.150	-1.7	1	8.590	8.600	8	8.900	8.470
[15:40:12] 	8.600	-0.140	-1.6	16	8.600	8.610	11	8.900	8.470
[15:41:28] 	8.600	-0.140	-1.6	16	8.600	8.610	13	8.900	8.470
[15:45:09] 	8.600	-0.140	-1.6	19	8.590	8.600	17	8.900	8.470
[15:46:16] 	8.610	-0.130	-1.5	15	8.600	8.620	7	8.900	8.470
[16:10:14] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:44:28] 	8.580	-0.160	-1.8	8	8.570	8.590	6	8.900	8.470
[16:45:42] 	8.580	-0.160	-1.8	8	8.570	8.590	14	8.900	8.470
[16:47:03] 	8.570	-0.170	-1.9	2	8.560	8.570	18	8.900	8.470
[16:48:14] 	8.560	-0.180	-2.1	3	8.560	8.570	28	8.900	8.470
[16:49:20] 	8.560	-0.180	-2.1	3	8.560	8.570	30	8.900	8.470
[16:50:31] 	8.560	-0.180	-2.1	19	8.550	8.570	32	8.900	8.470
[16:51:55] 	8.560	-0.180	-2.1	13	8.550	8.570	25	8.900	8.470
[16:53:36] 	8.540	-0.200	-2.3	11	8.540	8.560	4	8.900	8.470
[16:54:54] 	8.570	-0.170	-1.9	9	8.560	8.570	2	8.900	8.470
[16:55:57] 	8.550	-0.190	-2.2	22	8.550	8.560	9	8.900	8.470
[16:57:01] 	8.550	-0.190	-2.2	8	8.550	8.560	33	8.900	8.470
[16:58:12] 	8.550	-0.190	-2.2	2	8.550	8.560	32	8.900	8.470
[16:59:17] 	8.490	-0.250	-2.9	8	8.580	8.400	8	8.900	8.470
[17:00:22] 	8.490	-0.250	-2.9	2	9.090	7.000	42	8.900	8.470
[17:02:54] 	8.490	-0.250	-2.9	1	10.000	7.000	42	8.900	8.470
[17:05:18] 	8.560	-0.180	-2.1	1	8.550	8.570	45	8.900	8.470
[17:18:29] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[17:18:53] 	8.560	-0.180	-2.1	1	8.550	8.570	45	8.900	8.470
[17:20:31] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[17:22:33] 	8.560	-0.180	-2.1	1	8.550	8.570	45	8.900	8.470
[17:38:31] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[17:39:03] 	8.560	-0.180	-2.1	1	8.550	8.570	45	8.900	8.470
[17:44:02] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[17:44:27] 	8.560	-0.180	-2.1	1	8.550	8.570	45	8.900	8.470
[17:50:22] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[17:50:57] 	8.560	-0.180	-2.1	1	8.550	8.570	45	8.900	8.470
[17:52:02] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[17:53:11] 	8.560	-0.180	-2.1	1	8.550	8.570	45	8.900	8.470
