Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[09:42:59] 	1.570	-	-	15	1.560	1.570	3	1.570	1.550
[09:44:16] 	1.570	-	-	15	1.560	1.580	5	1.570	1.550
[09:49:37] 	1.570	-	-	15	1.560	1.580	10	1.570	1.550
[10:33:33] 	1.580	+0.010	+0.6	15	1.560	1.590	22	1.580	1.550
[10:34:58] 	1.580	+0.010	+0.6	15	1.560	1.590	24	1.580	1.550
[10:54:07] 	1.580	+0.010	+0.6	15	1.560	1.580	3	1.580	1.550
[11:21:46] 	1.570	-	-	15	1.560	1.570	2	1.580	1.550
[11:35:11] 	1.570	-	-	15	1.560	1.570	6	1.580	1.550
[11:40:44] 	1.570	-	-	15	1.560	1.570	7	1.580	1.550
[12:15:25] 	1.570	-	-	15	1.560	1.570	4	1.580	1.550
[12:16:29] 	1.570	-	-	15	1.560	1.570	7	1.580	1.550
[12:17:48] 	1.570	-	-	15	1.560	1.570	10	1.580	1.550
[12:21:14] 	1.570	-	-	15	1.560	1.570	9	1.580	1.550
[12:30:27] 	1.570	-	-	7	1.560	1.570	9	1.580	1.550
[13:54:15] 	1.570	-	-	7	1.560	1.570	8	1.580	1.550
[14:00:39] 	1.570	-	-	15	1.560	1.570	8	1.580	1.550
[14:12:02] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:12:27] 	1.570	-	-	15	1.560	1.570	8	1.580	1.550
[15:07:07] 	1.570	-	-	15	1.560	1.570	10	1.580	1.550
[16:00:44] 	1.570	-	-	15	1.560	1.570	13	1.580	1.550
[16:04:50] 	1.570	-	-	15	1.560	1.570	10	1.580	1.550
[16:46:50] 	1.570	-	-	17	1.560	1.570	10	1.580	1.550
[16:48:10] 	1.570	-	-	18	1.560	1.570	10	1.580	1.550
[16:49:57] 	1.570	-	-	19	1.560	1.570	10	1.580	1.550
[16:52:10] 	1.570	-	-	20	1.560	1.570	10	1.580	1.550
[16:55:40] 	1.570	-	-	21	1.560	1.570	10	1.580	1.550
[16:56:43] 	1.560	-0.010	-0.6	18	1.560	1.570	10	1.580	1.550
[16:58:51] 	1.570	-	-	12	1.560	1.570	19	1.580	1.550
[16:59:56] 	1.570	-	-	12	1.560	1.570	24	1.580	1.550
[17:01:00] 	1.570	-	-	5	1.560	1.570	24	1.580	1.550
[17:02:25] 	1.570	-	-	7	1.660	1.570	24	1.580	1.550
[17:07:16] 	1.570	-	-	5	1.560	1.570	14	1.580	1.550
