Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[10:10:19] 	-	-	-	12	1.900	1.920	60	-	-
[10:26:58] 	-	-	-	12	1.900	1.920	60	-	-
[10:27:36] 	-	-	-	12	1.900	1.920	60	-	-
[10:28:09] 	-	-	-	12	1.900	1.920	60	-	-
[11:19:49] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[11:28:02] 	-	-	-	12	1.900	1.920	60	-	-
[12:05:48] 	1.920	+0.010	+0.5	12	1.890	1.920	59	1.920	1.900
[12:08:58] 	1.920	+0.010	+0.5	12	1.890	1.900	9	1.920	1.900
[13:00:09] 	1.920	+0.010	+0.5	12	1.890	1.920	59	1.920	1.900
[13:08:55] 	1.920	+0.010	+0.5	14	1.890	1.920	59	1.920	1.900
[13:13:00] 	1.920	+0.010	+0.5	12	1.890	1.920	59	1.920	1.900
[13:27:52] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:44:03] 	1.900	-0.010	-0.5	16	1.880	1.890	2	1.920	1.890
[14:44:36] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:44:49] 	1.900	-0.010	-0.5	16	1.880	1.890	2	1.920	1.890
[15:00:47] 	1.890	-0.020	-1.0	16	1.880	1.890	4	1.920	1.890
[15:12:56] 	1.890	-0.020	-1.0	16	1.880	1.890	11	1.920	1.890
[15:17:54] 	1.890	-0.020	-1.0	16	1.880	1.890	21	1.920	1.890
[16:10:54] 	1.880	-0.030	-1.6	13	1.870	1.890	21	1.920	1.880
[16:11:54] 	1.880	-0.030	-1.6	13	1.870	1.890	24	1.920	1.880
[16:16:44] 	1.880	-0.030	-1.6	13	1.870	1.880	31	1.920	1.880
[16:34:51] 	1.880	-0.030	-1.6	13	1.870	1.880	48	1.920	1.880
[16:36:01] 	1.870	-0.040	-2.1	6	1.870	1.880	41	1.920	1.870
[16:38:58] 	1.900	-0.010	-0.5	5	1.870	1.900	5	1.920	1.870
[16:41:01] 	1.900	-0.010	-0.5	116	1.870	1.900	5	1.920	1.870
[16:41:53] 	1.900	-0.010	-0.5	122	1.870	1.900	5	1.920	1.870
[16:47:54] 	1.900	-0.010	-0.5	2	1.880	1.900	5	1.920	1.870
[16:56:57] 	1.900	-0.010	-0.5	2	1.880	1.900	4	1.920	1.870
[16:57:49] 	1.870	-0.040	-2.1	6	1.870	1.900	4	1.920	1.870
[17:01:53] 	1.870	-0.040	-2.1	2	1.900	1.900	4	1.920	1.870
[17:04:54] 	1.900	-0.010	-0.5	6	1.870	1.900	2	1.920	1.870
[09:42:20] 	-	-	-	17	1.850	1.900	4	-	-
