Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[00:00:19] 	9.000	-0.250	-2.7	1	8.950	9.000	4	9.250	9.000
[10:01:16] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:01:37] 	-	-	-	1	9.020	9.080	1	-	-
[10:39:57] 	-	-	-	1	9.020	9.080	1	-	-
[11:17:51] 	-	-	-	3	9.020	9.080	1	-	-
[11:23:44] 	-	-	-	4	9.020	9.080	1	-	-
[12:05:25] 	-	-	-	4	9.020	9.160	1	-	-
[14:05:22] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:07:43] 	-	-	-	4	9.020	9.160	1	-	-
[15:01:16] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[15:01:50] 	-	-	-	4	9.020	9.160	1	-	-
[15:52:36] 	9.020	+0.020	+0.2	3	9.000	9.020	3	9.020	9.020
[16:23:31] 	9.000	-	-	1	9.000	9.020	3	9.020	9.000
[16:54:42] 	9.020	+0.020	+0.2	1	8.900	9.020	2	9.020	9.000
[16:56:01] 	9.020	+0.020	+0.2	1	8.900	9.020	7	9.020	9.000
[17:01:54] 	9.020	+0.020	+0.2	1	8.900	9.020	12	9.020	9.000
[17:03:43] 	9.020	+0.020	+0.2	1	8.900	9.000	1	9.020	9.000
[09:49:15] 	8.950	-0.070	-0.8	1	8.860	9.020	1	8.950	8.950
