Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[12:41:31] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:43:12] 	0.755	+0.020	+2.7	261	0.750	0.750	5	0.755	0.740
[12:48:57] 	0.755	+0.020	+2.7	268	0.750	0.750	5	0.755	0.740
[12:52:14] 	0.755	+0.020	+2.7	268	0.750	0.750	15	0.755	0.740
[13:03:13] 	0.755	+0.020	+2.7	268	0.750	0.750	31	0.755	0.740
[13:15:11] 	0.755	+0.020	+2.7	278	0.750	0.750	31	0.755	0.740
[13:20:38] 	0.755	+0.020	+2.7	278	0.750	0.750	51	0.755	0.740
[13:24:37] 	0.755	+0.020	+2.7	30	0.755	0.750	51	0.755	0.740
[13:25:29] 	0.755	+0.020	+2.7	31	0.755	0.750	51	0.755	0.740
[13:29:21] 	0.755	+0.020	+2.7	31	0.755	0.740	1	0.755	0.740
[13:30:29] 	0.755	+0.020	+2.7	31	0.755	0.720	2	0.755	0.740
[13:40:26] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[13:41:39] 	0.755	+0.020	+2.7	31	0.755	0.720	2	0.755	0.740
[13:48:13] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[13:49:26] 	0.755	+0.020	+2.7	31	0.755	0.720	2	0.755	0.740
[13:56:33] 	0.755	+0.020	+2.7	51	0.755	0.720	2	0.755	0.740
[13:57:36] 	0.755	+0.020	+2.7	291	0.750	0.755	373	0.755	0.740
[13:59:04] 	0.750	+0.015	+2.0	291	0.750	0.755	374	0.755	0.740
[14:00:21] 	0.750	+0.015	+2.0	291	0.750	0.755	376	0.755	0.740
[14:00:38] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:03:02] 	0.750	+0.015	+2.0	347	0.750	0.755	376	0.755	0.740
[14:05:21] 	0.750	+0.015	+2.0	352	0.750	0.755	376	0.755	0.740
[14:06:36] 	0.750	+0.015	+2.0	272	0.750	0.755	377	0.755	0.740
[14:07:42] 	0.755	+0.020	+2.7	272	0.750	0.755	360	0.755	0.740
[14:08:59] 	0.755	+0.020	+2.7	282	0.750	0.755	360	0.755	0.740
[14:10:03] 	0.755	+0.020	+2.7	327	0.750	0.755	345	0.755	0.740
[14:12:45] 	0.755	+0.020	+2.7	337	0.750	0.755	232	0.755	0.740
[14:14:07] 	0.755	+0.020	+2.7	337	0.750	0.755	232	0.755	0.740
[14:15:28] 	0.755	+0.020	+2.7	1	0.755	0.760	451	0.755	0.740
[14:16:42] 	0.755	+0.020	+2.7	332	0.750	0.755	43	0.755	0.740
[14:17:55] 	0.755	+0.020	+2.7	332	0.750	0.755	83	0.755	0.740
[14:19:13] 	0.760	+0.025	+3.4	332	0.750	0.760	402	0.760	0.740
[14:21:45] 	0.760	+0.025	+3.4	332	0.750	0.760	404	0.760	0.740
[14:23:01] 	0.760	+0.025	+3.4	70	0.755	0.760	19	0.760	0.740
[14:24:23] 	0.760	+0.025	+3.4	73	0.755	0.760	19	0.760	0.740
[14:25:40] 	0.760	+0.025	+3.4	123	0.755	0.760	299	0.760	0.740
[14:27:16] 	0.760	+0.025	+3.4	83	0.755	0.760	491	0.760	0.740
[14:28:28] 	0.755	+0.020	+2.7	82	0.755	0.760	494	0.760	0.740
[14:29:40] 	0.755	+0.020	+2.7	82	0.755	0.760	494	0.760	0.740
[14:30:57] 	0.760	+0.025	+3.4	97	0.755	0.760	524	0.760	0.740
[14:32:21] 	0.760	+0.025	+3.4	97	0.755	0.760	24	0.760	0.740
[14:33:53] 	0.760	+0.025	+3.4	172	0.755	0.760	87	0.760	0.740
[14:36:20] 	0.760	+0.025	+3.4	172	0.755	0.760	37	0.760	0.740
[14:37:40] 	0.760	+0.025	+3.4	184	0.755	0.760	37	0.760	0.740
[14:38:34] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:40:51] 	0.760	+0.025	+3.4	184	0.755	0.760	122	0.760	0.740
[14:42:15] 	0.760	+0.025	+3.4	184	0.755	0.760	123	0.760	0.740
[14:43:53] 	0.760	+0.025	+3.4	186	0.755	0.760	153	0.760	0.740
[14:46:02] 	0.760	+0.025	+3.4	186	0.755	0.760	153	0.760	0.740
[14:47:42] 	0.760	+0.025	+3.4	186	0.755	0.760	158	0.760	0.740
[14:51:14] 	0.760	+0.025	+3.4	186	0.755	0.760	180	0.760	0.740
[14:52:55] 	0.755	+0.020	+2.7	185	0.755	0.760	180	0.760	0.740
[14:54:45] 	0.755	+0.020	+2.7	140	0.755	0.760	215	0.760	0.740
[14:56:34] 	0.760	+0.025	+3.4	140	0.755	0.760	220	0.760	0.740
[14:58:18] 	0.755	+0.020	+2.7	106	0.755	0.760	210	0.760	0.740
[14:59:51] 	0.755	+0.020	+2.7	30	0.755	0.760	188	0.760	0.740
[15:01:41] 	0.755	+0.020	+2.7	332	0.750	0.755	55	0.760	0.740
[15:03:23] 	0.755	+0.020	+2.7	332	0.750	0.755	34	0.760	0.740
[15:04:42] 	0.750	+0.015	+2.0	327	0.750	0.755	44	0.760	0.740
[15:06:01] 	0.750	+0.015	+2.0	327	0.750	0.755	54	0.760	0.740
[15:07:32] 	0.750	+0.015	+2.0	327	0.750	0.755	254	0.760	0.740
[15:08:44] 	0.750	+0.015	+2.0	327	0.750	0.755	354	0.760	0.740
[15:09:53] 	0.750	+0.015	+2.0	332	0.750	0.755	355	0.760	0.740
[15:11:06] 	0.750	+0.015	+2.0	357	0.750	0.755	355	0.760	0.740
[15:12:20] 	0.755	+0.020	+2.7	357	0.750	0.755	345	0.760	0.740
[15:13:40] 	0.755	+0.020	+2.7	357	0.750	0.755	315	0.760	0.740
[15:16:20] 	0.755	+0.020	+2.7	357	0.750	0.755	325	0.760	0.740
[15:17:46] 	0.755	+0.020	+2.7	359	0.750	0.755	305	0.760	0.740
[15:20:24] 	0.755	+0.020	+2.7	359	0.750	0.755	489	0.760	0.740
[15:21:36] 	0.755	+0.020	+2.7	359	0.750	0.755	459	0.760	0.740
[15:23:08] 	0.755	+0.020	+2.7	37	0.755	0.760	379	0.760	0.740
[15:24:32] 	0.755	+0.020	+2.7	65	0.755	0.760	399	0.760	0.740
[15:26:02] 	0.755	+0.020	+2.7	155	0.755	0.760	399	0.760	0.740
[15:27:28] 	0.755	+0.020	+2.7	165	0.755	0.760	399	0.760	0.740
[15:28:49] 	0.755	+0.020	+2.7	122	0.755	0.760	399	0.760	0.740
[15:30:11] 	0.755	+0.020	+2.7	127	0.755	0.760	409	0.760	0.740
[15:31:30] 	0.755	+0.020	+2.7	144	0.755	0.760	419	0.760	0.740
[15:36:19] 	0.755	+0.020	+2.7	131	0.755	0.760	419	0.760	0.740
[15:37:47] 	0.755	+0.020	+2.7	231	0.755	0.760	729	0.760	0.740
[15:39:18] 	0.755	+0.020	+2.7	231	0.755	0.760	735	0.760	0.740
[15:40:47] 	0.755	+0.020	+2.7	186	0.755	0.760	732	0.760	0.740
[15:43:40] 	0.755	+0.020	+2.7	186	0.755	0.760	757	0.760	0.740
[15:44:59] 	0.755	+0.020	+2.7	133	0.755	0.760	754	0.760	0.740
[15:46:18] 	0.755	+0.020	+2.7	126	0.755	0.760	754	0.760	0.740
[15:47:43] 	0.755	+0.020	+2.7	143	0.755	0.760	754	0.760	0.740
[15:49:11] 	0.755	+0.020	+2.7	130	0.755	0.760	754	0.760	0.740
[15:50:46] 	0.760	+0.025	+3.4	235	0.755	0.760	759	0.760	0.740
[15:51:39] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[15:52:25] 	0.755	+0.020	+2.7	227	0.755	0.760	248	0.760	0.740
[15:53:57] 	0.755	+0.020	+2.7	227	0.755	0.760	256	0.760	0.740
[15:55:34] 	0.760	+0.025	+3.4	267	0.755	0.760	289	0.760	0.740
[15:57:13] 	0.760	+0.025	+3.4	277	0.755	0.760	354	0.760	0.740
[15:59:08] 	0.760	+0.025	+3.4	317	0.755	0.760	379	0.760	0.740
[16:01:02] 	0.760	+0.025	+3.4	317	0.755	0.760	390	0.760	0.740
[16:02:57] 	0.760	+0.025	+3.4	327	0.755	0.760	373	0.760	0.740
[16:07:48] 	0.760	+0.025	+3.4	319	0.755	0.760	356	0.760	0.740
[16:10:14] 	0.760	+0.025	+3.4	319	0.755	0.760	371	0.760	0.740
[16:13:00] 	0.755	+0.020	+2.7	300	0.755	0.760	367	0.760	0.740
[16:15:24] 	0.760	+0.025	+3.4	302	0.755	0.760	333	0.760	0.740
[16:17:48] 	0.755	+0.020	+2.7	164	0.755	0.760	338	0.760	0.740
[16:20:01] 	0.755	+0.020	+2.7	215	0.755	0.760	381	0.760	0.740
[16:22:11] 	0.755	+0.020	+2.7	178	0.755	0.760	381	0.760	0.740
[16:24:09] 	0.760	+0.025	+3.4	178	0.755	0.760	397	0.760	0.740
[16:26:06] 	0.755	+0.020	+2.7	204	0.755	0.760	463	0.760	0.740
[16:28:05] 	0.755	+0.020	+2.7	216	0.755	0.760	465	0.760	0.740
[16:30:43] 	0.755	+0.020	+2.7	396	0.755	0.760	575	0.760	0.740
[16:33:25] 	0.760	+0.025	+3.4	396	0.755	0.760	540	0.760	0.740
[16:36:01] 	0.755	+0.020	+2.7	589	0.755	0.760	932	0.760	0.740
[16:38:21] 	0.755	+0.020	+2.7	580	0.755	0.760	931	0.760	0.740
[16:40:35] 	0.755	+0.020	+2.7	590	0.755	0.760	933	0.760	0.740
[16:42:50] 	0.755	+0.020	+2.7	580	0.755	0.760	945	0.760	0.740
[16:45:07] 	0.755	+0.020	+2.7	530	0.755	0.760	946	0.760	0.740
[16:47:44] 	0.755	+0.020	+2.7	522	0.755	0.760	920	0.760	0.740
[16:50:01] 	0.755	+0.020	+2.7	438	0.755	0.760	889	0.760	0.740
[16:52:20] 	0.755	+0.020	+2.7	427	0.755	0.760	885	0.760	0.740
[16:54:46] 	0.755	+0.020	+2.7	353	0.755	0.760	1,280	0.760	0.740
[16:57:00] 	0.755	+0.020	+2.7	444	0.755	0.760	1,204	0.760	0.740
[16:59:22] 	0.760	+0.025	+3.4	423	0.755	0.755	12	0.760	0.740
[17:00:09] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[17:02:23] 	0.760	+0.025	+3.4	20	0.800	0.725	9	0.760	0.740
[17:04:59] 	0.760	+0.025	+3.4	248	0.755	0.760	636	0.760	0.740
[17:44:10] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[17:44:51] 	0.760	+0.025	+3.4	248	0.755	0.760	636	0.760	0.740
[17:45:41] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[17:47:10] 	0.760	+0.025	+3.4	248	0.755	0.760	636	0.760	0.740
[17:50:36] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[17:51:19] 	0.760	+0.025	+3.4	248	0.755	0.760	636	0.760	0.740
[17:53:17] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[17:54:28] 	0.760	+0.025	+3.4	248	0.755	0.760	636	0.760	0.740
[18:22:38] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[18:23:04] 	0.760	+0.025	+3.4	248	0.755	0.760	636	0.760	0.740
[18:24:11] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[18:24:37] 	0.760	+0.025	+3.4	248	0.755	0.760	636	0.760	0.740
[18:25:35] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[18:26:06] 	0.760	+0.025	+3.4	248	0.755	0.760	636	0.760	0.740
[10:01:05] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
