Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[09:55:48] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[11:18:04] 	2.650	-0.090	-3.3	224	2.650	2.660	306	2.770	2.620
[11:19:33] 	2.660	-0.080	-2.9	243	2.650	2.660	306	2.770	2.620
[11:20:41] 	2.660	-0.080	-2.9	242	2.650	2.660	312	2.770	2.620
[11:21:25] 	2.660	-0.080	-2.9	275	2.650	2.660	354	2.770	2.620
[11:22:43] 	2.650	-0.090	-3.3	270	2.650	2.660	356	2.770	2.620
[11:23:49] 	2.650	-0.090	-3.3	258	2.650	2.660	345	2.770	2.620
[11:25:26] 	2.650	-0.090	-3.3	375	2.640	2.650	46	2.770	2.620
[11:26:36] 	2.640	-0.100	-3.6	419	2.640	2.650	251	2.770	2.620
[11:27:41] 	2.640	-0.100	-3.6	422	2.640	2.650	252	2.770	2.620
[11:28:43] 	2.640	-0.100	-3.6	388	2.640	2.650	256	2.770	2.620
[11:29:50] 	2.640	-0.100	-3.6	418	2.640	2.650	257	2.770	2.620
[11:30:55] 	2.640	-0.100	-3.6	407	2.640	2.650	255	2.770	2.620
[11:32:11] 	2.640	-0.100	-3.6	363	2.640	2.650	263	2.770	2.620
[11:33:24] 	2.640	-0.100	-3.6	395	2.640	2.650	265	2.770	2.620
[11:34:32] 	2.640	-0.100	-3.6	395	2.640	2.650	275	2.770	2.620
[11:35:36] 	2.640	-0.100	-3.6	402	2.640	2.650	275	2.770	2.620
[11:36:42] 	2.650	-0.090	-3.3	401	2.640	2.650	241	2.770	2.620
[11:37:48] 	2.650	-0.090	-3.3	376	2.640	2.650	297	2.770	2.620
[11:38:57] 	2.650	-0.090	-3.3	404	2.640	2.650	319	2.770	2.620
[11:40:10] 	2.640	-0.100	-3.6	394	2.640	2.650	319	2.770	2.620
[11:41:22] 	2.640	-0.100	-3.6	254	2.640	2.650	354	2.770	2.620
[11:42:28] 	2.630	-0.110	-4.0	359	2.630	2.640	357	2.770	2.620
[11:43:32] 	2.630	-0.110	-4.0	410	2.620	2.630	138	2.770	2.620
[11:44:36] 	2.620	-0.120	-4.4	297	2.620	2.630	204	2.770	2.620
[11:45:21] 	2.630	-0.110	-4.0	453	2.620	2.630	322	2.770	2.620
[11:46:36] 	2.630	-0.110	-4.0	453	2.620	2.630	319	2.770	2.620
[11:47:36] 	2.630	-0.110	-4.0	447	2.620	2.630	275	2.770	2.620
[11:48:19] 	2.630	-0.110	-4.0	471	2.620	2.630	285	2.770	2.620
[11:49:26] 	2.620	-0.120	-4.4	476	2.620	2.630	287	2.770	2.620
[11:50:34] 	2.630	-0.110	-4.0	204	2.630	2.640	444	2.770	2.620
[11:51:39] 	2.630	-0.110	-4.0	211	2.630	2.640	434	2.770	2.620
[11:52:44] 	2.620	-0.120	-4.4	424	2.620	2.630	268	2.770	2.620
[11:53:51] 	2.620	-0.120	-4.4	443	2.620	2.630	308	2.770	2.620
[11:54:56] 	2.610	-0.130	-4.7	492	2.600	2.610	98	2.770	2.610
[11:56:08] 	2.610	-0.130	-4.7	485	2.600	2.610	50	2.770	2.600
[11:57:18] 	2.600	-0.140	-5.1	299	2.600	2.610	274	2.770	2.600
[11:58:58] 	2.590	-0.150	-5.5	410	2.590	2.600	380	2.770	2.590
[12:00:11] 	2.590	-0.150	-5.5	436	2.590	2.600	402	2.770	2.590
[12:01:24] 	2.600	-0.140	-5.1	412	2.590	2.600	316	2.770	2.590
[12:02:28] 	2.600	-0.140	-5.1	444	2.590	2.600	30	2.770	2.590
[12:03:37] 	2.590	-0.150	-5.5	443	2.590	2.600	266	2.770	2.590
[12:04:41] 	2.600	-0.140	-5.1	459	2.590	2.600	267	2.770	2.590
[12:05:50] 	2.600	-0.140	-5.1	690	2.590	2.600	211	2.770	2.590
[12:06:54] 	2.600	-0.140	-5.1	220	2.600	2.610	382	2.770	2.590
[12:07:58] 	2.610	-0.130	-4.7	301	2.600	2.610	333	2.770	2.590
[12:09:06] 	2.600	-0.140	-5.1	606	2.600	2.610	323	2.770	2.590
[12:10:11] 	2.610	-0.130	-4.7	459	2.600	2.610	258	2.770	2.590
[12:11:14] 	2.610	-0.130	-4.7	864	2.600	2.610	190	2.770	2.590
[12:12:19] 	2.610	-0.130	-4.7	209	2.610	2.620	624	2.770	2.590
[12:13:25] 	2.620	-0.120	-4.4	232	2.610	2.620	628	2.770	2.590
[12:14:40] 	2.620	-0.120	-4.4	275	2.610	2.620	630	2.770	2.590
[12:15:41] 	2.610	-0.130	-4.7	272	2.610	2.620	624	2.770	2.590
[12:16:12] 	2.610	-0.130	-4.7	253	2.610	2.620	623	2.770	2.590
[12:16:57] 	2.610	-0.130	-4.7	261	2.610	2.620	658	2.770	2.590
[12:18:02] 	2.620	-0.120	-4.4	395	2.610	2.620	649	2.770	2.590
[12:19:06] 	2.620	-0.120	-4.4	267	2.610	2.620	517	2.770	2.590
[12:20:15] 	2.620	-0.120	-4.4	279	2.610	2.620	507	2.770	2.590
[12:21:24] 	2.620	-0.120	-4.4	277	2.610	2.620	506	2.770	2.590
[12:22:32] 	2.610	-0.130	-4.7	295	2.610	2.620	507	2.770	2.590
[12:24:40] 	2.610	-0.130	-4.7	317	2.610	2.620	506	2.770	2.590
[12:25:46] 	2.620	-0.120	-4.4	302	2.610	2.620	477	2.770	2.590
[12:26:51] 	2.620	-0.120	-4.4	537	2.610	2.620	470	2.770	2.590
[12:27:58] 	2.610	-0.130	-4.7	367	2.600	2.610	66	2.770	2.590
[12:29:02] 	2.620	-0.120	-4.4	232	2.610	2.620	409	2.770	2.590
[12:30:19] 	2.610	-0.130	-4.7	247	2.610	2.620	368	2.770	2.590
[12:31:26] 	2.610	-0.130	-4.7	249	2.610	2.620	368	2.770	2.590
[12:32:15] 	2.610	-0.130	-4.7	250	2.610	2.620	368	2.770	2.590
[12:35:42] 	2.610	-0.130	-4.7	251	2.610	2.620	368	2.770	2.590
[12:38:13] 	2.610	-0.130	-4.7	249	2.610	2.620	368	2.770	2.590
[12:47:00] 	2.610	-0.130	-4.7	249	2.610	2.610	5	2.770	2.590
[12:48:13] 	2.610	-0.130	-4.7	252	2.610	2.610	5	2.770	2.590
[12:53:14] 	2.610	-0.130	-4.7	56	2.710	2.610	105	2.770	2.590
[13:26:31] 	2.610	-0.130	-4.7	56	2.710	2.590	1	2.770	2.590
[13:36:43] 	2.610	-0.130	-4.7	56	2.710	2.590	101	2.770	2.590
[13:43:54] 	2.610	-0.130	-4.7	56	2.710	2.580	40	2.770	2.590
[13:56:57] 	2.610	-0.130	-4.7	56	2.710	2.600	150	2.770	2.590
[13:58:06] 	2.610	-0.130	-4.7	56	2.710	2.610	18	2.770	2.590
[13:59:55] 	2.620	-0.120	-4.4	108	2.610	2.620	346	2.770	2.590
[14:01:00] 	2.610	-0.130	-4.7	174	2.610	2.620	335	2.770	2.590
[14:02:08] 	2.610	-0.130	-4.7	192	2.610	2.620	336	2.770	2.590
[14:03:20] 	2.610	-0.130	-4.7	209	2.610	2.620	336	2.770	2.590
[14:04:34] 	2.620	-0.120	-4.4	209	2.610	2.620	255	2.770	2.590
[14:05:39] 	2.620	-0.120	-4.4	213	2.610	2.620	250	2.770	2.590
[14:07:10] 	2.620	-0.120	-4.4	353	2.610	2.620	259	2.770	2.590
[14:08:32] 	2.620	-0.120	-4.4	343	2.610	2.620	266	2.770	2.590
[14:09:38] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:10:23] 	2.630	-0.110	-4.0	120	2.630	2.640	324	2.770	2.590
[14:11:36] 	2.630	-0.110	-4.0	234	2.630	2.640	268	2.770	2.590
[14:12:51] 	2.640	-0.100	-3.6	277	2.630	2.640	282	2.770	2.590
[14:14:31] 	2.640	-0.100	-3.6	277	2.630	2.640	287	2.770	2.590
[14:15:36] 	2.640	-0.100	-3.6	299	2.630	2.640	282	2.770	2.590
[14:16:45] 	2.640	-0.100	-3.6	295	2.630	2.640	274	2.770	2.590
[14:17:52] 	2.630	-0.110	-4.0	320	2.630	2.640	275	2.770	2.590
