Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[00:00:49] 	2.650	-0.090	-3.3	94	2.650	2.660	157	2.750	2.630
[00:12:35] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[00:12:45] 	2.650	-0.090	-3.3	94	2.650	2.660	157	2.750	2.630
[00:24:19] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[00:31:01] 	2.650	-0.090	-3.3	94	2.650	2.660	157	2.750	2.630
[00:32:09] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[00:42:29] 	2.650	-0.090	-3.3	94	2.650	2.660	157	2.750	2.630
[00:49:47] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[00:50:02] 	2.650	-0.090	-3.3	94	2.650	2.660	157	2.750	2.630
[02:52:11] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[02:52:48] 	2.650	-0.090	-3.3	94	2.650	2.660	157	2.750	2.630
[03:47:09] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[03:47:19] 	2.650	-0.090	-3.3	94	2.650	2.660	157	2.750	2.630
[03:52:07] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[03:52:22] 	2.650	-0.090	-3.3	94	2.650	2.660	157	2.750	2.630
[04:18:08] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[04:18:26] 	2.650	-0.090	-3.3	94	2.650	2.660	157	2.750	2.630
[04:18:42] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[04:19:13] 	2.650	-0.090	-3.3	94	2.650	2.660	157	2.750	2.630
[06:29:11] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[06:29:43] 	2.650	-0.090	-3.3	94	2.650	2.660	157	2.750	2.630
[07:16:06] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[07:16:31] 	2.650	-0.090	-3.3	94	2.650	2.660	157	2.750	2.630
[07:20:21] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[07:20:37] 	2.650	-0.090	-3.3	94	2.650	2.660	157	2.750	2.630
[07:23:55] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[07:24:16] 	2.650	-0.090	-3.3	94	2.650	2.660	157	2.750	2.630
[08:30:32] 	-	-	-	-	-	-	-	-	-
[08:31:35] 	-	-	-	10	2.700	2.530	33	-	-
[08:32:38] 	-	-	-	10	2.700	2.170	5	-	-
[08:33:51] 	-	-	-	10	2.700	2.000	1	-	-
[08:45:05] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[08:45:36] 	-	-	-	10	2.700	2.000	1	-	-
[08:49:31] 	-	-	-	12	2.700	2.000	1	-	-
[08:51:37] 	-	-	-	12	2.700	1.990	1	-	-
[08:54:20] 	-	-	-	69	2.750	1.990	1	-	-
[08:59:39] 	-	-	-	6	2.900	1.990	13	-	-
[09:00:42] 	2.630	-0.020	-0.8	70	2.650	2.660	6	2.630	2.630
[09:01:50] 	2.680	+0.030	+1.1	42	2.670	2.680	5	2.690	2.630
[09:02:58] 	2.670	+0.020	+0.8	41	2.670	2.680	20	2.690	2.630
[09:04:06] 	2.660	+0.010	+0.4	93	2.650	2.670	202	2.690	2.630
[09:05:24] 	2.660	+0.010	+0.4	93	2.650	2.660	1	2.690	2.630
[09:06:27] 	2.660	+0.010	+0.4	28	2.660	2.670	23	2.690	2.630
[09:07:29] 	2.660	+0.010	+0.4	34	2.660	2.670	20	2.690	2.630
[09:08:37] 	2.670	+0.020	+0.8	11	2.670	2.680	39	2.690	2.630
[09:09:40] 	2.670	+0.020	+0.8	11	2.670	2.680	30	2.690	2.630
[09:10:43] 	2.670	+0.020	+0.8	74	2.660	2.670	49	2.690	2.630
[09:12:01] 	2.670	+0.020	+0.8	54	2.660	2.670	2	2.690	2.630
[09:13:00] 	2.670	+0.020	+0.8	91	2.660	2.670	25	2.690	2.630
[09:14:03] 	2.670	+0.020	+0.8	87	2.660	2.670	18	2.690	2.630
[09:15:05] 	2.660	+0.010	+0.4	82	2.660	2.670	38	2.690	2.630
[09:16:07] 	2.660	+0.010	+0.4	10	2.660	2.670	58	2.690	2.630
[09:30:33] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[09:31:12] 	2.700	+0.050	+1.9	630	2.690	2.700	88	2.710	2.630
[09:31:53] 	2.700	+0.050	+1.9	650	2.690	2.700	145	2.710	2.630
[09:32:48] 	2.700	+0.050	+1.9	645	2.690	2.700	160	2.710	2.630
[09:33:50] 	2.690	+0.040	+1.5	301	2.680	2.690	85	2.710	2.630
[09:33:52] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[09:34:10] 	2.690	+0.040	+1.5	301	2.680	2.690	85	2.710	2.630
[09:34:57] 	2.680	+0.030	+1.1	16	2.680	2.690	84	2.710	2.630
[09:36:00] 	2.680	+0.030	+1.1	15	2.680	2.690	105	2.710	2.630
[09:37:03] 	2.680	+0.030	+1.1	6	2.680	2.690	118	2.710	2.630
[09:38:59] 	2.670	+0.020	+0.8	139	2.660	2.670	52	2.710	2.630
[09:39:45] 	2.670	+0.020	+0.8	146	2.660	2.670	77	2.710	2.630
[09:41:09] 	2.670	+0.020	+0.8	159	2.660	2.670	100	2.710	2.630
[09:42:12] 	2.660	+0.010	+0.4	129	2.660	2.670	117	2.710	2.630
[09:43:35] 	2.670	+0.020	+0.8	134	2.660	2.670	102	2.710	2.630
[09:44:37] 	2.660	+0.010	+0.4	133	2.660	2.670	102	2.710	2.630
[09:46:06] 	2.670	+0.020	+0.8	62	2.670	2.680	332	2.710	2.630
[09:47:08] 	2.670	+0.020	+0.8	64	2.670	2.680	328	2.710	2.630
[09:48:16] 	2.670	+0.020	+0.8	195	2.660	2.670	34	2.710	2.630
[09:48:53] 	2.670	+0.020	+0.8	196	2.660	2.670	8	2.710	2.630
[09:50:01] 	2.670	+0.020	+0.8	201	2.660	2.670	51	2.710	2.630
[09:52:11] 	2.670	+0.020	+0.8	87	2.670	2.680	326	2.710	2.630
[09:53:08] 	2.670	+0.020	+0.8	76	2.670	2.680	326	2.710	2.630
[09:54:11] 	2.670	+0.020	+0.8	106	2.670	2.680	334	2.710	2.630
[10:08:18] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:10:50] 	2.690	+0.040	+1.5	335	2.680	2.690	71	2.710	2.630
[10:11:52] 	2.690	+0.040	+1.5	332	2.680	2.690	69	2.710	2.630
[10:14:17] 	2.690	+0.040	+1.5	320	2.680	2.690	90	2.710	2.630
[10:15:25] 	2.690	+0.040	+1.5	310	2.680	2.690	83	2.710	2.630
[10:16:36] 	2.690	+0.040	+1.5	459	2.680	2.690	82	2.710	2.630
[10:17:40] 	2.680	+0.030	+1.1	452	2.680	2.690	76	2.710	2.630
[10:18:44] 	2.690	+0.040	+1.5	474	2.680	2.690	63	2.710	2.630
[10:19:52] 	2.690	+0.040	+1.5	488	2.680	2.690	57	2.710	2.630
[10:20:58] 	2.690	+0.040	+1.5	510	2.680	2.690	16	2.710	2.630
[10:22:09] 	2.690	+0.040	+1.5	347	2.690	2.700	200	2.710	2.630
[10:23:20] 	2.700	+0.050	+1.9	368	2.690	2.700	179	2.710	2.630
[10:24:31] 	2.700	+0.050	+1.9	368	2.690	2.700	180	2.710	2.630
[10:25:39] 	2.700	+0.050	+1.9	375	2.690	2.700	179	2.710	2.630
[10:26:46] 	2.690	+0.040	+1.5	366	2.690	2.700	206	2.710	2.630
[10:27:51] 	2.690	+0.040	+1.5	359	2.690	2.700	213	2.710	2.630
[10:30:09] 	2.690	+0.040	+1.5	494	2.680	2.690	108	2.710	2.630
[10:31:18] 	2.690	+0.040	+1.5	486	2.680	2.690	111	2.710	2.630
[10:32:20] 	2.680	+0.030	+1.1	485	2.680	2.690	118	2.710	2.630
[10:33:33] 	2.680	+0.030	+1.1	486	2.680	2.690	118	2.710	2.630
[10:35:02] 	2.680	+0.030	+1.1	507	2.680	2.690	122	2.710	2.630
[10:36:05] 	2.690	+0.040	+1.5	507	2.680	2.690	122	2.710	2.630
[10:37:28] 	2.690	+0.040	+1.5	512	2.680	2.690	141	2.710	2.630
[10:39:11] 	2.680	+0.030	+1.1	565	2.680	2.690	166	2.710	2.630
[10:40:15] 	2.680	+0.030	+1.1	562	2.680	2.690	159	2.710	2.630
[10:41:28] 	2.680	+0.030	+1.1	558	2.680	2.690	115	2.710	2.630
[10:42:36] 	2.680	+0.030	+1.1	557	2.680	2.690	116	2.710	2.630
[10:43:44] 	2.680	+0.030	+1.1	567	2.680	2.690	109	2.710	2.630
[10:44:47] 	2.680	+0.030	+1.1	573	2.680	2.690	173	2.710	2.630
[10:45:49] 	2.680	+0.030	+1.1	586	2.680	2.690	176	2.710	2.630
[10:46:58] 	2.680	+0.030	+1.1	69	2.680	2.690	136	2.710	2.630
[10:48:05] 	2.670	+0.020	+0.8	169	2.670	2.680	60	2.710	2.630
[10:49:10] 	2.670	+0.020	+0.8	159	2.670	2.680	81	2.710	2.630
[10:50:13] 	2.680	+0.030	+1.1	147	2.670	2.680	84	2.710	2.630
[10:51:21] 	2.680	+0.030	+1.1	151	2.670	2.680	120	2.710	2.630
[10:52:24] 	2.670	+0.020	+0.8	152	2.670	2.680	131	2.710	2.630
[10:53:27] 	2.670	+0.020	+0.8	141	2.670	2.680	142	2.710	2.630
[10:54:44] 	2.670	+0.020	+0.8	147	2.670	2.680	149	2.710	2.630
[10:55:46] 	2.670	+0.020	+0.8	125	2.670	2.680	162	2.710	2.630
[10:57:04] 	2.670	+0.020	+0.8	126	2.670	2.680	165	2.710	2.630
[10:58:12] 	2.670	+0.020	+0.8	125	2.670	2.680	171	2.710	2.630
[10:59:17] 	2.670	+0.020	+0.8	134	2.670	2.680	173	2.710	2.630
[11:00:25] 	2.670	+0.020	+0.8	140	2.670	2.680	177	2.710	2.630
[11:01:24] 	2.670	+0.020	+0.8	160	2.670	2.680	175	2.710	2.630
[11:02:32] 	2.670	+0.020	+0.8	176	2.670	2.680	394	2.710	2.630
[11:03:40] 	2.670	+0.020	+0.8	228	2.670	2.680	146	2.710	2.630
[11:04:53] 	2.680	+0.030	+1.1	248	2.670	2.680	150	2.710	2.630
[11:06:01] 	2.670	+0.020	+0.8	247	2.670	2.680	153	2.710	2.630
[11:07:08] 	2.670	+0.020	+0.8	251	2.670	2.680	164	2.710	2.630
[11:08:12] 	2.670	+0.020	+0.8	228	2.670	2.680	165	2.710	2.630
[11:08:53] 	2.670	+0.020	+0.8	230	2.670	2.680	164	2.710	2.630
[11:09:56] 	2.680	+0.030	+1.1	230	2.670	2.680	163	2.710	2.630
[11:25:42] 	2.670	+0.020	+0.8	318	2.670	2.680	227	2.710	2.630
[11:25:53] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[11:27:42] 	2.670	+0.020	+0.8	301	2.670	2.680	208	2.710	2.630
[11:28:19] 	2.680	+0.030	+1.1	327	2.670	2.680	142	2.710	2.630
[11:28:50] 	2.680	+0.030	+1.1	186	2.680	2.690	138	2.710	2.630
[11:30:00] 	2.690	+0.040	+1.5	215	2.680	2.690	183	2.710	2.630
[11:31:02] 	2.690	+0.040	+1.5	212	2.680	2.690	190	2.710	2.630
[11:32:21] 	2.680	+0.030	+1.1	311	2.670	2.680	18	2.710	2.630
[11:33:23] 	2.680	+0.030	+1.1	306	2.670	2.680	18	2.710	2.630
[11:34:26] 	2.680	+0.030	+1.1	29	2.680	2.690	128	2.710	2.630
[11:35:37] 	2.680	+0.030	+1.1	27	2.680	2.690	196	2.710	2.630
[11:36:40] 	2.680	+0.030	+1.1	52	2.680	2.690	196	2.710	2.630
[11:38:11] 	2.690	+0.040	+1.5	158	2.680	2.690	200	2.710	2.630
[11:39:14] 	2.690	+0.040	+1.5	157	2.680	2.690	204	2.710	2.630
[11:40:20] 	2.690	+0.040	+1.5	160	2.680	2.690	151	2.710	2.630
[11:41:27] 	2.690	+0.040	+1.5	175	2.680	2.690	117	2.710	2.630
[11:42:38] 	2.690	+0.040	+1.5	187	2.680	2.690	144	2.710	2.630
[11:43:46] 	2.680	+0.030	+1.1	189	2.680	2.690	135	2.710	2.630
[11:44:49] 	2.680	+0.030	+1.1	88	2.680	2.690	163	2.710	2.630
[11:46:01] 	2.680	+0.030	+1.1	84	2.680	2.690	149	2.710	2.630
[11:47:02] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[11:47:34] 	2.690	+0.040	+1.5	139	2.680	2.690	172	2.710	2.630
[11:48:05] 	2.680	+0.030	+1.1	139	2.680	2.690	185	2.710	2.630
[11:49:03] 	2.680	+0.030	+1.1	148	2.680	2.690	179	2.710	2.630
[11:49:54] 	2.690	+0.040	+1.5	179	2.680	2.690	195	2.710	2.630
[11:50:56] 	2.680	+0.030	+1.1	193	2.680	2.690	196	2.710	2.630
[11:51:59] 	2.690	+0.040	+1.5	194	2.680	2.690	187	2.710	2.630
[11:53:12] 	2.690	+0.040	+1.5	191	2.680	2.690	193	2.710	2.630
[11:54:17] 	2.680	+0.030	+1.1	172	2.680	2.690	176	2.710	2.630
[11:55:19] 	2.690	+0.040	+1.5	182	2.680	2.690	173	2.710	2.630
[11:56:43] 	2.690	+0.040	+1.5	218	2.680	2.690	126	2.710	2.630
[11:57:45] 	2.690	+0.040	+1.5	218	2.680	2.690	10	2.710	2.630
[11:58:48] 	2.690	+0.040	+1.5	225	2.680	2.690	41	2.710	2.630
[11:59:56] 	2.690	+0.040	+1.5	231	2.680	2.690	129	2.710	2.630
[12:01:03] 	2.690	+0.040	+1.5	235	2.680	2.690	134	2.710	2.630
[12:02:11] 	2.690	+0.040	+1.5	214	2.680	2.690	135	2.710	2.630
[12:03:14] 	2.690	+0.040	+1.5	214	2.680	2.690	102	2.710	2.630
[12:04:35] 	2.690	+0.040	+1.5	214	2.680	2.690	107	2.710	2.630
[12:05:39] 	2.690	+0.040	+1.5	207	2.680	2.690	108	2.710	2.630
[12:06:41] 	2.690	+0.040	+1.5	207	2.680	2.690	111	2.710	2.630
[12:07:23] 	2.690	+0.040	+1.5	207	2.680	2.690	212	2.710	2.630
[12:07:54] 	2.690	+0.040	+1.5	225	2.680	2.690	217	2.710	2.630
[12:11:13] 	2.680	+0.030	+1.1	199	2.680	2.690	279	2.710	2.630
[12:12:26] 	2.680	+0.030	+1.1	134	2.680	2.690	279	2.710	2.630
[12:27:00] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:27:29] 	2.670	+0.020	+0.8	190	2.670	2.680	49	2.710	2.630
[12:27:40] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:28:15] 	2.670	+0.020	+0.8	180	2.670	2.680	55	2.710	2.630
[12:30:18] 	2.680	+0.030	+1.1	138	2.670	2.680	31	2.710	2.630
[12:30:59] 	2.680	+0.030	+1.1	138	2.670	2.680	34	2.710	2.630
[12:31:58] 	2.680	+0.030	+1.1	141	2.670	2.580	7	2.710	2.630
[12:34:08] 	2.680	+0.030	+1.1	137	2.670	2.580	7	2.710	2.630
[12:35:11] 	2.680	+0.030	+1.1	5	2.680	2.580	7	2.710	2.630
[12:38:50] 	2.680	+0.030	+1.1	2	2.740	2.580	7	2.710	2.630
[13:26:14] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[13:26:25] 	2.680	+0.030	+1.1	2	2.740	2.580	7	2.710	2.630
[13:26:40] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[13:26:56] 	2.680	+0.030	+1.1	2	2.740	2.580	7	2.710	2.630
[13:37:39] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[13:38:09] 	2.680	+0.030	+1.1	2	2.740	2.580	7	2.710	2.630
[13:48:13] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[13:48:35] 	2.680	+0.030	+1.1	2	2.740	2.580	7	2.710	2.630
[13:55:45] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[13:56:16] 	2.680	+0.030	+1.1	2	2.740	2.580	7	2.710	2.630
[14:00:38] 	2.680	+0.030	+1.1	17	2.680	2.690	250	2.710	2.630
[14:01:40] 	2.680	+0.030	+1.1	143	2.670	2.680	22	2.710	2.630
[14:02:48] 	2.680	+0.030	+1.1	145	2.670	2.680	61	2.710	2.630
[14:04:38] 	2.670	+0.020	+0.8	155	2.670	2.680	73	2.710	2.630
[14:05:46] 	2.670	+0.020	+0.8	149	2.670	2.680	89	2.710	2.630
[14:06:48] 	2.670	+0.020	+0.8	354	2.670	2.680	135	2.710	2.630
[14:07:51] 	2.680	+0.030	+1.1	366	2.670	2.680	291	2.710	2.630
