Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[10:01:42] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:41:41] 	4.130	-0.030	-0.7	32	4.130	4.140	71	4.210	4.130
[10:42:28] 	4.130	-0.030	-0.7	78	4.120	4.130	8	4.210	4.130
[10:43:42] 	4.130	-0.030	-0.7	33	4.130	4.140	43	4.210	4.130
[10:44:27] 	4.140	-0.020	-0.5	43	4.140	4.150	40	4.210	4.130
[10:46:14] 	4.140	-0.020	-0.5	14	4.140	4.150	40	4.210	4.130
[10:46:46] 	4.140	-0.020	-0.5	14	4.140	4.150	47	4.210	4.130
[10:47:49] 	4.140	-0.020	-0.5	49	4.140	4.150	59	4.210	4.130
[10:49:11] 	4.130	-0.030	-0.7	56	4.120	4.130	250	4.210	4.130
[10:50:16] 	4.130	-0.030	-0.7	63	4.120	4.130	250	4.210	4.130
[10:51:21] 	4.130	-0.030	-0.7	58	4.120	4.130	250	4.210	4.130
[10:52:34] 	4.120	-0.040	-1.0	58	4.120	4.130	250	4.210	4.120
[10:53:42] 	4.120	-0.040	-1.0	65	4.120	4.130	251	4.210	4.120
[10:54:44] 	4.120	-0.040	-1.0	66	4.120	4.130	251	4.210	4.120
[10:55:49] 	4.120	-0.040	-1.0	62	4.120	4.130	246	4.210	4.120
[10:57:11] 	4.120	-0.040	-1.0	116	4.120	4.130	246	4.210	4.120
[10:58:14] 	4.120	-0.040	-1.0	120	4.120	4.130	243	4.210	4.120
[10:59:17] 	4.120	-0.040	-1.0	126	4.120	4.130	243	4.210	4.120
[11:00:30] 	4.120	-0.040	-1.0	124	4.120	4.130	243	4.210	4.120
[16:12:18] 	4.090	-0.070	-1.7	110	4.090	4.100	50	4.210	4.080
[16:13:21] 	4.090	-0.070	-1.7	111	4.090	4.100	50	4.210	4.080
[16:14:24] 	4.100	-0.060	-1.4	100	4.090	4.100	45	4.210	4.080
[16:15:32] 	4.090	-0.070	-1.7	104	4.090	4.100	46	4.210	4.080
[16:17:01] 	4.090	-0.070	-1.7	104	4.090	4.100	45	4.210	4.080
[16:18:04] 	4.100	-0.060	-1.4	109	4.090	4.100	53	4.210	4.080
[16:19:43] 	4.090	-0.070	-1.7	102	4.090	4.100	146	4.210	4.080
[16:20:46] 	4.090	-0.070	-1.7	81	4.090	4.100	244	4.210	4.080
[16:21:59] 	4.090	-0.070	-1.7	34	4.090	4.100	343	4.210	4.080
