Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[10:32:59] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:03:26] 	1.370	-0.060	-4.2	151	1.370	1.380	202	1.400	1.350
[12:03:58] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:04:37] 	1.370	-0.060	-4.2	151	1.370	1.380	150	1.400	1.350
[12:05:56] 	1.370	-0.060	-4.2	166	1.370	1.380	152	1.400	1.350
[12:07:09] 	1.370	-0.060	-4.2	163	1.370	1.380	146	1.400	1.350
[12:08:22] 	1.370	-0.060	-4.2	176	1.370	1.380	147	1.400	1.350
[12:09:26] 	1.370	-0.060	-4.2	161	1.370	1.380	147	1.400	1.350
[12:10:44] 	1.370	-0.060	-4.2	173	1.370	1.380	153	1.400	1.350
[12:12:08] 	1.370	-0.060	-4.2	174	1.370	1.380	153	1.400	1.350
[12:13:10] 	1.370	-0.060	-4.2	176	1.370	1.380	153	1.400	1.350
[12:14:39] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:15:13] 	1.370	-0.060	-4.2	162	1.370	1.380	154	1.400	1.350
[12:15:52] 	1.370	-0.060	-4.2	173	1.370	1.380	153	1.400	1.350
[12:16:23] 	1.370	-0.060	-4.2	159	1.370	1.380	154	1.400	1.350
[12:17:26] 	1.370	-0.060	-4.2	150	1.370	1.380	155	1.400	1.350
[12:18:29] 	1.370	-0.060	-4.2	144	1.370	1.380	151	1.400	1.350
[12:19:51] 	1.370	-0.060	-4.2	244	1.370	1.380	151	1.400	1.350
[12:20:24] 	1.370	-0.060	-4.2	244	1.370	1.380	162	1.400	1.350
[12:21:29] 	1.370	-0.060	-4.2	264	1.370	1.380	161	1.400	1.350
[12:22:31] 	1.380	-0.050	-3.5	264	1.370	1.380	111	1.400	1.350
[12:22:47] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:23:02] 	1.380	-0.050	-3.5	264	1.370	1.380	111	1.400	1.350
[12:23:33] 	1.370	-0.060	-4.2	263	1.370	1.380	137	1.400	1.350
[12:26:29] 	1.370	-0.060	-4.2	262	1.370	1.380	4	1.400	1.350
[12:27:31] 	1.380	-0.050	-3.5	17	1.380	1.390	182	1.400	1.350
[12:28:33] 	1.380	-0.050	-3.5	24	1.380	1.390	185	1.400	1.350
[12:29:36] 	1.370	-0.060	-4.2	212	1.370	1.380	39	1.400	1.350
[12:30:48] 	1.370	-0.060	-4.2	222	1.370	1.380	39	1.400	1.350
[12:43:06] 	1.370	-0.060	-4.2	223	1.370	1.380	39	1.400	1.350
[12:59:26] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[13:00:03] 	1.370	-0.060	-4.2	223	1.370	1.380	39	1.400	1.350
[13:10:46] 	1.370	-0.060	-4.2	223	1.370	1.330	508	1.400	1.350
[13:29:45] 	1.370	-0.060	-4.2	223	1.370	1.310	1	1.400	1.350
[13:30:38] 	1.370	-0.060	-4.2	1	1.440	1.310	165	1.400	1.350
[13:31:41] 	1.370	-0.060	-4.2	1	1.440	1.310	154	1.400	1.350
[13:32:46] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[13:33:27] 	1.370	-0.060	-4.2	1	1.440	1.330	508	1.400	1.350
[13:35:37] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[13:36:13] 	1.370	-0.060	-4.2	1	1.440	1.330	508	1.400	1.350
[13:45:24] 	1.370	-0.060	-4.2	1	1.440	1.340	54	1.400	1.350
