Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[10:14:15] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:15:44] 	2.680	+0.050	+1.9	43	2.680	2.690	41	2.690	2.630
[10:16:46] 	2.680	+0.050	+1.9	54	2.680	2.690	74	2.690	2.630
[10:17:59] 	2.690	+0.060	+2.3	102	2.680	2.690	66	2.690	2.630
[10:19:02] 	2.690	+0.060	+2.3	44	2.690	2.700	136	2.690	2.630
[10:21:16] 	2.690	+0.060	+2.3	24	2.690	2.700	134	2.690	2.630
[10:22:24] 	2.680	+0.050	+1.9	68	2.680	2.690	6	2.690	2.630
[10:24:04] 	2.690	+0.060	+2.3	40	2.690	2.700	118	2.690	2.630
[10:26:13] 	2.680	+0.050	+1.9	90	2.680	2.690	33	2.690	2.630
[10:27:16] 	2.690	+0.060	+2.3	19	2.690	2.700	142	2.690	2.630
[10:29:12] 	2.690	+0.060	+2.3	64	2.690	2.700	150	2.690	2.630
[10:30:47] 	2.690	+0.060	+2.3	179	2.690	2.700	180	2.690	2.630
[10:31:54] 	2.690	+0.060	+2.3	204	2.690	2.700	187	2.690	2.630
[10:33:01] 	2.690	+0.060	+2.3	178	2.690	2.700	237	2.700	2.630
[10:33:43] 	2.690	+0.060	+2.3	177	2.690	2.700	235	2.700	2.630
[10:33:59] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:35:32] 	2.690	+0.060	+2.3	81	2.690	2.700	265	2.700	2.630
[10:36:42] 	2.690	+0.060	+2.3	89	2.690	2.700	230	2.700	2.630
[10:38:16] 	2.690	+0.060	+2.3	99	2.690	2.700	230	2.700	2.630
[10:39:55] 	2.690	+0.060	+2.3	108	2.690	2.700	230	2.700	2.630
[10:41:05] 	2.690	+0.060	+2.3	170	2.690	2.700	231	2.700	2.630
[10:42:08] 	2.710	+0.080	+3.0	100	2.700	2.710	70	2.710	2.630
[10:43:38] 	2.700	+0.070	+2.7	136	2.700	2.710	4	2.720	2.630
[10:45:24] 	2.700	+0.070	+2.7	22	2.700	2.710	89	2.720	2.630
[10:47:11] 	2.700	+0.070	+2.7	13	2.700	2.710	124	2.720	2.630
[10:48:34] 	2.690	+0.060	+2.3	117	2.690	2.700	58	2.720	2.630
[10:49:40] 	2.690	+0.060	+2.3	185	2.690	2.700	57	2.720	2.630
[10:50:44] 	2.690	+0.060	+2.3	186	2.690	2.700	60	2.720	2.630
[10:52:07] 	2.690	+0.060	+2.3	185	2.690	2.700	90	2.720	2.630
[10:53:18] 	2.700	+0.070	+2.7	139	2.690	2.700	85	2.720	2.630
[10:54:41] 	2.690	+0.060	+2.3	185	2.690	2.700	109	2.720	2.630
[10:55:44] 	2.700	+0.070	+2.7	137	2.690	2.700	101	2.720	2.630
[10:57:10] 	2.690	+0.060	+2.3	139	2.690	2.700	145	2.720	2.630
[10:58:12] 	2.700	+0.070	+2.7	140	2.690	2.700	114	2.720	2.630
[10:58:44] 	2.700	+0.070	+2.7	155	2.690	2.700	105	2.720	2.630
[10:59:52] 	2.700	+0.070	+2.7	160	2.690	2.700	132	2.720	2.630
[11:00:30] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[11:00:59] 	2.700	+0.070	+2.7	170	2.690	2.700	123	2.720	2.630
[11:02:08] 	2.700	+0.070	+2.7	218	2.690	2.700	117	2.720	2.630
