Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[10:02:31] 	2.110	+0.060	+2.9	11	2.110	2.120	87	2.120	2.080
[10:07:32] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:09:51] 	2.120	+0.070	+3.4	34	2.100	2.120	93	2.120	2.080
[10:10:35] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:16:40] 	2.100	+0.050	+2.4	27	2.100	2.110	104	2.120	2.080
[10:20:52] 	2.100	+0.050	+2.4	22	2.100	2.110	18	2.120	2.080
[10:22:35] 	2.100	+0.050	+2.4	17	2.100	2.110	112	2.120	2.080
[10:24:31] 	2.100	+0.050	+2.4	17	2.100	2.110	108	2.120	2.080
[10:26:29] 	2.100	+0.050	+2.4	27	2.100	2.110	106	2.120	2.080
[10:28:17] 	2.100	+0.050	+2.4	25	2.100	2.110	111	2.120	2.080
[10:30:00] 	2.110	+0.060	+2.9	25	2.100	2.110	107	2.120	2.080
[10:31:31] 	2.100	+0.050	+2.4	24	2.100	2.110	111	2.120	2.080
[10:35:59] 	2.100	+0.050	+2.4	14	2.100	2.110	111	2.120	2.080
[10:40:31] 	2.100	+0.050	+2.4	112	2.090	2.100	16	2.120	2.080
[10:41:57] 	2.100	+0.050	+2.4	112	2.090	2.100	18	2.120	2.080
[10:44:29] 	2.100	+0.050	+2.4	112	2.090	2.100	6	2.120	2.080
[10:45:16] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:46:55] 	2.090	+0.040	+2.0	111	2.090	2.100	6	2.120	2.080
[10:48:13] 	2.090	+0.040	+2.0	114	2.090	2.100	6	2.120	2.080
[10:49:33] 	2.090	+0.040	+2.0	113	2.090	2.100	6	2.120	2.080
[10:52:32] 	2.090	+0.040	+2.0	25	2.090	2.100	6	2.120	2.080
[10:54:06] 	2.090	+0.040	+2.0	113	2.090	2.100	6	2.120	2.080
[10:56:15] 	2.090	+0.040	+2.0	24	2.090	2.100	6	2.120	2.080
[10:57:32] 	2.090	+0.040	+2.0	30	2.090	2.100	6	2.120	2.080
[11:04:02] 	2.090	+0.040	+2.0	30	2.090	2.100	94	2.120	2.080
[11:06:46] 	2.090	+0.040	+2.0	26	2.090	2.100	96	2.120	2.080
[11:08:00] 	2.090	+0.040	+2.0	27	2.090	2.100	96	2.120	2.080
[11:18:27] 	2.090	+0.040	+2.0	112	2.080	2.090	4	2.120	2.080
[11:19:51] 	2.090	+0.040	+2.0	112	2.080	2.090	9	2.120	2.080
[11:22:40] 	2.090	+0.040	+2.0	24	2.080	2.090	19	2.090	2.090
[11:24:33] 	2.080	+0.030	+1.5	14	2.080	2.090	9	2.120	2.080
[12:24:32] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:25:40] 	2.080	+0.030	+1.5	25	2.080	2.090	93	2.120	2.070
[12:26:59] 	2.080	+0.030	+1.5	25	2.080	2.090	5	2.120	2.070
[12:31:03] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:31:34] 	2.080	+0.030	+1.5	25	2.080	2.090	5	2.120	2.070
[12:52:46] 	2.080	+0.030	+1.5	3	2.090	2.090	5	2.120	2.070
[13:03:09] 	2.080	+0.030	+1.5	3	2.090	2.090	6	2.120	2.070
[13:23:29] 	2.080	+0.030	+1.5	3	2.090	2.080	2	2.120	2.070
[13:32:58] 	2.080	+0.030	+1.5	3	2.090	2.080	12	2.120	2.070
[13:36:00] 	2.080	+0.030	+1.5	8	2.090	2.080	12	2.120	2.070
[13:36:48] 	2.080	+0.030	+1.5	3	2.090	2.080	12	2.120	2.070
[13:39:38] 	2.080	+0.030	+1.5	6	2.090	2.080	12	2.120	2.070
[13:55:05] 	2.080	+0.030	+1.5	6	2.090	2.080	17	2.120	2.070
