Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[00:00:01] 	7.860	+0.140	+1.8	13	7.740	7.830	13	7.860	7.750
[08:30:13] 	-	-	-	-	-	-	-	-	-
[08:53:35] 	-	-	-	50	7.590	-	-	-	-
[08:57:26] 	-	-	-	50	7.650	-	-	-	-
[09:00:41] 	-	-	-	50	7.850	7.990	15	-	-
[09:10:13] 	7.990	+0.130	+1.7	50	7.650	-	-	7.990	7.990
[09:11:31] 	7.990	+0.130	+1.7	15	7.840	7.990	15	7.990	7.990
[09:13:47] 	7.990	+0.130	+1.7	25	7.850	7.990	15	7.990	7.990
[10:15:27] 	7.990	+0.130	+1.7	15	7.940	8.060	13	7.990	7.990
[10:18:49] 	7.990	+0.130	+1.7	35	7.950	8.060	13	7.990	7.990
[10:22:57] 	7.990	+0.130	+1.7	35	7.950	8.070	13	7.990	7.990
[10:24:12] 	7.990	+0.130	+1.7	35	7.950	8.060	13	7.990	7.990
[10:26:31] 	7.950	+0.090	+1.1	34	7.950	8.060	13	7.990	7.950
[10:36:21] 	7.950	+0.090	+1.1	34	7.950	8.090	15	7.990	7.950
[10:56:36] 	7.950	+0.090	+1.1	15	7.940	8.090	15	7.990	7.950
[11:12:28] 	7.950	+0.090	+1.1	15	7.950	8.100	15	7.990	7.950
[11:13:06] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[11:13:22] 	7.950	+0.090	+1.1	15	7.950	8.100	15	7.990	7.950
[11:27:57] 	7.950	+0.090	+1.1	-	-	-	-	7.990	7.950
[11:29:06] 	7.950	+0.090	+1.1	15	7.940	8.090	15	7.990	7.950
[11:30:19] 	7.950	+0.090	+1.1	15	7.950	8.100	15	7.990	7.950
[11:35:42] 	7.950	+0.090	+1.1	15	7.960	8.110	15	7.990	7.950
[11:36:44] 	7.950	+0.090	+1.1	15	7.970	8.120	15	7.990	7.950
[11:38:45] 	8.120	+0.260	+3.3	-	-	-	-	8.120	7.950
[11:51:39] 	8.120	+0.260	+3.3	15	7.990	8.140	15	8.120	7.950
[12:05:16] 	8.120	+0.260	+3.3	15	8.000	8.150	15	8.120	7.950
[14:18:36] 	7.990	+0.130	+1.7	15	7.990	8.140	15	8.120	7.950
[15:18:28] 	7.990	+0.130	+1.7	15	7.990	8.130	1	8.120	7.950
[15:26:53] 	7.990	+0.130	+1.7	15	8.000	8.130	1	8.120	7.950
[15:27:25] 	7.990	+0.130	+1.7	15	7.990	8.130	1	8.120	7.950
[15:39:10] 	7.990	+0.130	+1.7	15	8.000	8.130	1	8.120	7.950
[15:41:20] 	7.990	+0.130	+1.7	15	7.990	8.130	1	8.120	7.950
[15:42:32] 	7.990	+0.130	+1.7	15	8.000	8.130	1	8.120	7.950
[15:43:41] 	7.990	+0.130	+1.7	15	7.990	8.130	1	8.120	7.950
[15:44:43] 	7.990	+0.130	+1.7	15	8.000	8.130	1	8.120	7.950
[15:48:52] 	7.990	+0.130	+1.7	-	-	8.130	1	8.120	7.950
[15:49:54] 	7.990	+0.130	+1.7	15	7.990	8.130	1	8.120	7.950
[15:50:25] 	7.990	+0.130	+1.7	15	7.980	8.130	16	8.120	7.950
[15:57:25] 	7.990	+0.130	+1.7	15	7.970	8.120	15	8.120	7.950
[16:00:31] 	7.990	+0.130	+1.7	15	7.980	8.130	1	8.120	7.950
[16:01:34] 	7.990	+0.130	+1.7	15	7.970	8.120	15	8.120	7.950
[16:02:41] 	7.990	+0.130	+1.7	15	7.970	8.110	1	8.120	7.950
[16:04:51] 	7.990	+0.130	+1.7	-	-	8.110	1	8.120	7.950
[16:05:54] 	7.990	+0.130	+1.7	15	7.970	8.110	1	8.120	7.950
[16:06:57] 	7.990	+0.130	+1.7	15	7.980	8.110	1	8.120	7.950
[16:07:59] 	7.990	+0.130	+1.7	15	7.970	8.110	1	8.120	7.950
[16:08:30] 	7.990	+0.130	+1.7	-	-	8.110	1	8.120	7.950
[16:09:33] 	7.990	+0.130	+1.7	15	7.970	8.110	1	8.120	7.950
[16:10:34] 	7.990	+0.130	+1.7	15	7.980	8.110	1	8.120	7.950
[16:12:39] 	7.990	+0.130	+1.7	15	7.970	8.110	1	8.120	7.950
[16:17:34] 	7.990	+0.130	+1.7	-	-	8.110	1	8.120	7.950
[16:18:48] 	7.990	+0.130	+1.7	15	7.970	8.110	1	8.120	7.950
[16:27:35] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:27:49] 	7.990	+0.130	+1.7	15	7.970	8.110	1	8.120	7.950
[16:28:16] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:28:36] 	7.990	+0.130	+1.7	15	7.970	8.110	1	8.120	7.950
[16:29:11] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:29:42] 	7.990	+0.130	+1.7	15	7.970	8.110	1	8.120	7.950
[16:36:21] 	8.110	+0.250	+3.2	15	7.970	8.110	-	8.120	7.950
[16:52:27] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:52:42] 	8.000	+0.140	+1.8	15	7.990	8.140	15	8.130	7.950
[16:53:08] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:53:25] 	8.000	+0.140	+1.8	15	8.000	8.150	15	8.130	7.950
[17:03:44] 	8.000	+0.140	+1.8	15	7.990	8.140	15	8.130	7.950
